r,r1,n1,n2,r2
3.3516266266266266,1.7640140442676386,0.0,0.0,1.587612582358988
3.4148648648648647,1.7972972989413072,0.0,0.0,1.6175675659235575
3.478103103103103,1.830580609531336,0.0,0.0,1.647522493571767
3.541341341341341,1.86386389443568,0.0,0.0,1.677477446905661
3.6045795795795796,1.8971472101768803,0.0,0.0,1.7074323694026994
3.667817817817818,1.9304304622452673,0.0,0.0,1.7373873555725505
3.731056056056056,1.9637137137891083,0.0,0.0,1.7673423422669476
3.794294294294294,1.9984692721779884,0.0007100418557379519,0.0004497336508233329,1.7958250221163057
3.8575325325325323,2.0318190970639396,0.0015557779010932033,0.0012868180532164077,1.8257134354685927
3.920770770770771,2.06516798656978,0.0024115316382993966,0.0021342237138801496,1.855602784200991
3.984009009009009,2.098519511850669,0.0032776066337762574,0.002991647066394833,1.88548949715834
4.047247247247247,2.1318726759087885,0.004153395754684333,0.0038586327611308696,1.9153745713384587
4.110485485485485,2.1652285269096185,0.005039202567443352,0.004735332581298123,1.9452569585758668
4.1737237237237235,2.198583297415543,0.005934116372794135,0.005621442960476866,1.9751404263081804
4.236961961961962,2.2319407149623895,0.006838440737156408,0.006516660332247374,2.005021246999572
4.3002002002002,2.2653008106620334,0.007752175660530173,0.007420984696609649,2.0348993895381664
4.363438438438438,2.298659740026522,0.008674410443656251,0.008334112487143962,2.064778698411916
4.426676676676677,2.332023284372271,0.009605752219374096,0.00925574013743059,2.094653392304406
4.489914914914915,2.365385619726115,0.010545593854844253,0.010186171213889258,2.1245292951888
4.553153153153153,2.3987506567622967,0.011493935350066726,0.011124798583680514,2.1544024963908566
4.616391391391391,2.4321144445088447,0.012450169572202057,0.012071622246804357,2.1842769468825467
4.67962962962963,2.465484824460854,0.013414903654089707,0.013026035070421339,2.2141448051687758
4.742867867867868,2.498851998317026,0.014387226896470493,0.013988644187370908,2.2440158695508416
4.806106106106106,2.532221911752042,0.015367442865764143,0.014958842464813616,2.2738841943540637
4.869344344344344,2.5655924350792025,0.016354944429131206,0.015936326336329736,2.3037519092651415
4.932582582582582,2.5989677695147653,0.01735033871941113,0.016921095801919268,2.333614813067817
4.99582082082082,2.6323416867121128,0.018352715037344737,0.017913150861582215,2.3634791341087076
5.059059059059059,2.6657163518991167,0.019362073382932034,0.01891218794889884,2.3933427071599427
5.1222972972972975,2.6990916168050854,0.02037841375617302,0.01991820706386916,2.423205680492212
5.185535535535536,2.7324695948630886,0.02140173615706769,0.02093090464007344,2.453065940672447
5.248773773773774,2.7658482268040725,0.022431433452776598,0.02194997711109195,2.4829255469697014
5.312012012012012,2.79922744487118,0.023467809209719467,0.022975728043344426,2.512784567140832
5.37525025025025,2.8326094097123886,0.024510559861476572,0.02400755030399141,2.5426408405378615
5.438488488488488,2.865994127660503,0.025559685408047907,0.025045443893032905,2.572494360827985
5.5017267267267265,2.8993773041480244,0.02661488228301376,0.026089712376888636,2.602349422578702
5.564964964964965,2.9327632601608706,0.027675846919954394,0.027139445056299425,2.632201704804094
5.628203203203203,2.9661497757059676,0.02874288288528954,0.028195249064104727,2.662053427497235
5.691441441441441,2.999539060578081,0.02981568661259946,0.029256517267465088,2.6919023808633598
5.75467967967968,3.0329289290844317,0.030893954535464445,0.030323249666380503,2.7217507505952483
5.817917917917918,3.0663215788513023,0.03197799022030422,0.03139544626085099,2.751596339066616
5.881156156156156,3.099710342979355,0.033066882967859604,0.03247310705087651,2.781445813176801
5.944394394394394,3.133106295416957,0.03416154347738977,0.03355562490361766,2.8112880989774376
6.007632632632633,3.1664983523384946,0.035261061049635535,0.03464360695191387,2.841134280294138
6.070870870870871,3.199897712095075,0.03636604281743637,0.035736142496505946,2.870973158775796
6.134109109109109,3.2332953475417225,0.037475881647952805,0.03683383867023337,2.9008137615673864
6.197347347347347,3.26669578938297,0.03859057754118485,0.03793608834025668,2.930651557964377
6.260585585585585,3.300096755922589,0.03971013049713251,0.03904319507299558,2.9604888296629963
6.323823823823823,3.3334959317782147,0.04083393338295632,0.04015485530203037,2.9903278920456087
6.3870620620620615,3.366897902671796,0.04196259333149574,0.04127106902736104,3.0201641593902657
6.4503003003003005,3.400305018833586,0.04309611034275077,0.04239153268256787,3.0499952814667144
6.513538538538539,3.433705633246044,0.0442332701510425,0.04351654983407059,3.079832905292495
6.576776776776777,3.467113737682213,0.04537528702204985,0.04464551334902973,3.109663039094564
6.640015015015015,3.500519963369778,0.04652155382293335,0.04577903036028476,3.139495051645237
6.703253253253253,3.533931390065909,0.047672070553693005,0.046916190168576496,3.1693218631873443
6.766491491491491,3.5673432921731054,0.048826837214328817,0.048057599906744394,3.199148199318386
6.8297297297297295,3.600755671935759,0.04998524667200134,0.04920265244194899,3.2289740577939705
6.892967967967968,3.6341684976884987,0.05114790605955001,0.05035195490702975,3.258799470279469
6.956206206206206,3.667586597709519,0.0523142082441354,0.051504293036307755,3.288619608496687
7.019444444444444,3.701005151559824,0.053484760358596936,0.05266088109546192,3.31843929288462
7.082682682682682,3.734424162717615,0.054658955270095184,0.05382111195165279,3.348258519965067
7.145920920920921,3.767838757052149,0.055836185845790684,0.05498498560488038,3.378082163868772
7.209159159159159,3.801258624199912,0.057017666351362344,0.05615250205514466,3.4079005349592473
7.272397397397397,3.8346838212561933,0.0582027896539707,0.0573230541696062,3.437713576141204
7.335635635635636,3.86810945549675,0.05939155575361578,0.058497249081104444,3.4675261801388855
7.398873873873874,3.901530586146672,0.060583357517458095,0.0596750867896394,3.497343287727202
7.462112112112112,3.9349570578578326,0.06177880207833712,0.0608559601623716,3.5271550542542793
7.52535035035035,3.968388906387725,0.06297788943625286,0.062039869199301066,3.556961443962625
7.588588588588588,1.0550565733578916,0.0,0.9801091139139061,6.533532015230697
7.651826826826826,1.0637665022779832,0.0,0.980212022930193,6.588060324548843
7.7150650650650645,1.0724743715999778,0.0,0.9803158426457392,6.6425906934650865
7.7783033033033036,1.0811796199009578,0.0,0.980421180193384,6.697123683402346
7.841541541541542,1.0898828507531881,0.0,0.9805274284402878,6.751658690788354
7.90477977977978,1.0985836020597548,0.0,0.9806348909528706,6.806196177720025
7.968018018018018,1.1072816888315937,0.0,0.9807438712975521,6.860736329186424
8.031256256256256,1.115977630096486,0.0,0.9808537623414928,6.91527862615977
8.094494494494494,1.1246711132057374,0.0,0.9809648676511123,6.969823381288757
8.157732732732732,1.1333620746414943,0.0,0.9810771872264107,7.024370658091238
8.22097097097097,1.1420506120754286,0.0,0.981190721067388,7.078920358895542
8.284209209209209,1.1507365417764304,0.0,0.9813054691740443,7.133472667432779
8.347447447447447,1.1594199183559752,0.0,0.9814214315463794,7.188027529091472
8.410685685685685,1.1681007634658442,0.0,0.9815386081843934,7.242584922219841
8.473923923923923,1.1767786958732278,0.0,0.9816573026545061,7.297145228050695
8.537162162162161,1.1854543269234772,0.0,0.981776907823878,7.351707835238685
8.6004004004004,1.1941269762328242,0.0,0.9818980308253484,7.406273424167575
8.663638638638638,1.202797058263659,0.0,0.9820203680924978,7.460841580374979
8.726876876876876,1.2114643641461078,0.0,0.9821439196253261,7.515412512730768
8.790115115115116,1.2201289750414686,0.0,0.9822686854238334,7.569986140073647
8.853353353353354,1.2287905468853826,0.0,0.9823949690544391,7.624562806467972
8.916591591591592,1.2374493956081845,0.0,0.9825224669507239,7.679142195983408
8.97982982982983,1.2461051512332595,0.0,0.9826514826791072,7.7337246785965705
9.043068068068068,1.2547583436665832,0.0,0.9827814091067497,7.788309724401485
9.106306306306307,1.2634084873062152,0.0,0.9829128533664908,7.8428978190000915
9.169544544544545,1.2720553901940597,0.0,0.9830458154583307,7.897489154350485
9.232782782782783,1.280699481423686,0.0,0.9831799918158494,7.952083301359097
9.296021021021021,1.2893403232714693,0.0,0.9833156860054666,8.006680697749552
