,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
1.360479797979798e+00,-1.491505812402203e+01,-1.192801249898365e+01,-1.858121911702554e+01,-1.227301247437987e+01,-1.154044797649142e+01,-2.304224991366779e+01
1.363636363636364e+00,-1.497194295486289e+01,-1.197350497830423e+01,-1.859071748600656e+01,-1.231982075582991e+01,-1.158446231592689e+01,-2.305340467425190e+01
1.414141414141414e+00,-1.589039767764767e+01,-1.270802034673467e+01,-1.874407685651743e+01,-1.307558088603924e+01,-1.229511183930952e+01,-2.323350791774525e+01
1.420454545454545e+00,-1.600628278661137e+01,-1.280069709104711e+01,-1.876342682219497e+01,-1.317093816698847e+01,-1.238477733441690e+01,-2.325623226493317e+01
1.422032828282828e+00,-1.603529084326017e+01,-1.282389569070398e+01,-1.876827045487173e+01,-1.319480775154843e+01,-1.240722216606763e+01,-2.326192056394267e+01
1.422230113636364e+00,-1.603891788223653e+01,-1.282679634089820e+01,-1.876887608125748e+01,-1.319779229872430e+01,-1.241002856844752e+01,-2.326263180366708e+01
1.422328756313131e+00,-1.604073148766734e+01,-1.282824673472617e+01,-1.876917890880066e+01,-1.319928464303103e+01,-1.241143183613512e+01,-2.326298744038210e+01
1.422427398989899e+00,-1.604254515038641e+01,-1.282969717436926e+01,-1.875097617762484e+01,-1.320077703447801e+01,-1.241283514814921e+01,-2.326334308833099e+01
1.422821969696970e+00,-1.604980037404304e+01,-1.283549939101097e+01,-1.875945611599004e+01,-1.320674707158426e+01,-1.241844883939138e+01,-2.326476579244521e+01
1.423611111111111e+00,-1.606431356963834e+01,-1.284710602217670e+01,-1.877641944593046e+01,-1.321868940724954e+01,-1.242967834834451e+01,-2.326761173959461e+01
1.426767676767677e+00,-1.612240294784944e+01,-1.289356181360564e+01,-1.884431593748714e+01,-1.326648886317426e+01,-1.247462469998844e+01,-2.327900270440626e+01
1.439393939393939e+00,-1.635534308144849e+01,-1.307985091834667e+01,-1.911658288716330e+01,-1.345816610248990e+01,-1.265486090631653e+01,-2.332468081194950e+01
1.464646464646465e+00,-1.682398576232739e+01,-1.345463831163731e+01,-1.966434557296386e+01,-1.384379366227727e+01,-1.301747072206614e+01,-2.341657871913189e+01
1.477272727272727e+00,-1.705966763546402e+01,-1.364312006646399e+01,-1.993981714457087e+01,-1.403772697081279e+01,-1.319982833497781e+01,-2.346279446470049e+01
1.478851010101010e+00,-1.708919089975113e+01,-1.366673069288591e+01,-1.997432476241988e+01,-1.406202049939761e+01,-1.322267180583582e+01,-2.346858379271494e+01
1.478949652777778e+00,-1.709103656686766e+01,-1.366820672739089e+01,-1.997648202981804e+01,-1.406353922599970e+01,-1.322409988108454e+01,-2.346011986546723e+01
1.479048295454545e+00,-1.709288228843776e+01,-1.366968280544401e+01,-1.997863936086306e+01,-1.406505799740949e+01,-1.322552799846643e+01,-2.346265338573101e+01
1.479245580808081e+00,-1.709657389491965e+01,-1.367263509217941e+01,-1.998295421387142e+01,-1.406809567463649e+01,-1.322838435961499e+01,-2.346772066828350e+01
1.479640151515151e+00,-1.710395776111677e+01,-1.367854018806021e+01,-1.999158468340556e+01,-1.407417156661041e+01,-1.323409758734797e+01,-2.347785617572072e+01
1.480429292929293e+00,-1.711872810537780e+01,-1.369035246860883e+01,-2.000884867529688e+01,-1.408632549976033e+01,-1.324552606373217e+01,-2.349813078251463e+01
