,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
1.395202020202020e+00,5.271359689696969e-01,5.271359689696971e-01,5.271359722278788e-01,5.271359744000000e-01,5.271359739759192e-01,5.271359741414140e-01
1.395991161616161e+00,5.272736633535353e-01,5.272736724040404e-01,5.272736687838383e-01,5.272736711111111e-01,5.272736691458586e-01,5.272736713179796e-01
1.396188446969697e+00,5.273080824242423e-01,5.273080824242425e-01,5.273080842343435e-01,5.273080824242424e-01,5.273080788040405e-01,5.273080826311111e-01
1.396287089646465e+00,5.273252801939393e-01,5.273252838141415e-01,5.273252783838384e-01,5.273252835555554e-01,5.273252825212121e-01,5.273252830901011e-01
1.396385732323232e+00,5.273424848420202e-01,5.273424794798518e-01,5.273424743434344e-01,5.273424821010100e-01,5.273424829802020e-01,5.273424844282828e-01
1.396780303030303e+00,5.274112708525253e-01,5.274112680301205e-01,5.274112672323233e-01,5.274112725591918e-01,5.274112695389090e-01,5.274112693734141e-01
1.398358585858586e+00,5.276861647385858e-01,5.276861698585857e-01,5.276861672727273e-01,5.276861677898990e-01,5.276861706757173e-01,5.276861691345452e-01
1.401515151515151e+00,5.282347853575757e-01,5.282347801858587e-01,5.282347773931314e-01,5.282347773414142e-01,5.282347809098989e-01,5.282347810650503e-01
1.404671717171717e+00,5.287818087434344e-01,5.287818115878787e-01,5.287818033131314e-01,5.287818144840405e-01,5.287818137599999e-01,5.287818109672726e-01
1.405460858585859e+00,5.289183229414142e-01,5.289183239757574e-01,5.289183236654547e-01,5.289183263030304e-01,5.289183301818181e-01,5.289183259927271e-01
1.405559501262626e+00,5.289353867636364e-01,5.289353826262626e-01,5.289353867636364e-01,5.289353852121211e-01,5.289353852121212e-01,5.289353839191919e-01
1.405658143939394e+00,5.289524415353536e-01,5.289524402424243e-01,5.289524384275589e-01,5.289524428282828e-01,5.289524428282828e-01,5.289524399838382e-01
1.405855429292929e+00,5.289865438383837e-01,5.289865445727677e-01,5.289865430566184e-01,5.289865445727677e-01,5.289865465276767e-01,5.289865503030301e-01
1.406250000000000e+00,5.290547393939393e-01,5.290547458585859e-01,5.290547393140875e-01,5.290547430141412e-01,5.290547435313131e-01,5.290547402731312e-01
1.407828282828283e+00,5.293272772525252e-01,5.293272759595958e-01,5.293272746666666e-01,5.293272790109091e-01,5.293272782351515e-01,5.293272798383838e-01
