r,n_opt,F_min,partial_F_r,eefactor
2.913457,0.207824,5.415674,3.048679,0.700944
2.929465,0.208597,5.464686,3.080744,0.702181
2.945473,0.210298,5.513794,3.043275,0.700310
2.961481,0.211071,5.562895,3.074806,0.701537
2.977489,0.211844,5.612212,3.106465,0.702754
2.993497,0.213543,5.661488,3.069098,0.700912
3.009505,0.214316,5.710887,3.100239,0.702119
3.025513,0.216013,5.760450,3.063610,0.700307
3.041521,0.216786,5.809927,3.094252,0.701504
3.057529,0.217558,5.859610,3.125017,0.702692
3.073537,0.219254,5.909315,3.088493,0.700907
3.089545,0.220026,5.959069,3.118774,0.702086
3.105553,0.220798,6.009025,3.149177,0.703256
3.121561,0.222492,6.058856,3.112768,0.701498
3.137569,0.223264,6.108875,3.142701,0.702659
3.153577,0.224957,6.158957,3.106988,0.700928
3.169585,0.225728,6.209035,3.136467,0.702079
3.185593,0.226500,6.259307,3.166063,0.703223
3.201601,0.228191,6.309489,3.130466,0.701517
3.217609,0.228962,6.359813,3.159622,0.702652
3.233617,0.230652,6.410222,3.124689,0.700972
3.249625,0.231423,6.460594,3.153418,0.702097
3.265633,0.232193,6.511153,3.182261,0.703215
3.281641,0.233882,6.561635,3.147444,0.701560
3.297649,0.234652,6.612236,3.175872,0.702669
3.313657,0.236339,6.662922,3.141690,0.701038
3.329665,0.237109,6.713560,3.169717,0.702138
3.345673,0.237879,6.764377,3.197853,0.703231
3.361681,0.239565,6.815112,3.163786,0.701623
3.377689,0.240334,6.865960,3.191533,0.702708
3.393697,0.242018,6.916875,3.158071,0.701124
3.409705,0.242787,6.967752,3.185440,0.702200
3.425713,0.243556,7.018801,3.212914,0.703270
3.441721,0.245239,7.069738,3.179567,0.701707
3.457729,0.246008,7.120809,3.206673,0.702769
3.473737,0.247690,7.171904,3.173905,0.701228
3.489745,0.248457,7.222993,3.200655,0.702282
3.505753,0.250138,7.274235,3.168448,0.700763
3.521761,0.250906,7.325340,3.194851,0.701809
3.537769,0.251673,7.376606,3.221355,0.702849
3.553777,0.253353,7.427834,3.189255,0.701350
3.569785,0.254120,7.479110,3.215421,0.702382
3.585793,0.255798,7.530463,3.183858,0.700904
3.601801,0.256565,7.581746,3.209696,0.701929
3.617809,0.257331,7.633183,3.235633,0.702948
3.633817,0.259008,7.684498,3.204174,0.701488
3.649825,0.259774,7.735936,3.229791,0.702500
3.665833,0.261449,7.787353,3.198847,0.701060
3.681841,0.262215,7.838789,3.224153,0.702065
3.697849,0.263889,7.890299,3.193709,0.700644
3.713857,0.264655,7.941728,3.218713,0.701642
3.729865,0.265420,7.993304,3.243810,0.702634
3.745873,0.267093,8.044741,3.213464,0.701231
3.761881,0.267858,8.096305,3.238266,0.702216
3.777889,0.269529,8.147815,3.208399,0.700832
3.793897,0.270294,8.199364,3.232915,0.701810
3.809905,0.271964,8.250935,3.203513,0.700444
3.825913,0.272728,8.302467,3.227749,0.701415
3.841921,0.274397,8.354089,3.198799,0.700067
3.857929,0.275161,8.405600,3.222764,0.701032
3.873937,0.275925,8.457247,3.246817,0.701992
3.889945,0.277592,8.508752,3.217954,0.700659
3.905953,0.278355,8.560373,3.241741,0.701612
3.921961,0.280021,8.611910,3.213312,0.700297
3.937969,0.280785,8.663501,3.236841,0.701244
3.953977,0.282449,8.715060,3.208834,0.699944
3.969985,0.283212,8.766619,3.232111,0.700885
3.985993,0.284876,8.818190,3.204514,0.699602
4.002001,0.285638,8.869715,3.227546,0.700537
4.018009,0.287300,8.921289,3.200349,0.699270
4.034017,0.288062,8.972776,3.223142,0.700198
4.050025,0.289724,9.024344,3.196333,0.698946
4.066033,0.290485,9.075790,3.218892,0.699869
4.082041,0.292145,9.127342,3.192461,0.698633
4.098049,0.292906,9.178744,3.214794,0.699550
4.114057,0.293667,9.230265,3.237206,0.700462
4.130065,0.295326,9.281628,3.210842,0.699239
4.146073,0.296087,9.333100,3.233031,0.700146
4.162081,0.297744,9.384430,3.207032,0.698937
4.178089,0.298504,9.435850,3.229004,0.699838
4.194097,0.300160,9.487136,3.203359,0.698644
4.210105,0.300920,9.538502,3.225120,0.699539
4.226113,0.302575,9.589737,3.199821,0.698359
4.242121,0.303334,9.641046,3.221375,0.699249
4.258129,0.304988,9.692221,3.196414,0.698082
4.274137,0.305747,9.743470,3.217765,0.698966
4.290145,0.307399,9.794576,3.193133,0.697813
4.306153,0.308158,9.845762,3.214287,0.698692
4.322161,0.309809,9.896792,3.189976,0.697552
4.338169,0.311460,9.947906,3.166238,0.696426
4.354177,0.312218,9.998857,3.186939,0.697299
4.370185,0.313867,10.049878,3.163501,0.696185
4.386193,0.314624,10.100760,3.184019,0.697053
4.402201,0.316272,10.151681,3.160874,0.695951
4.418209,0.317029,10.202491,3.181213,0.696814
4.434217,0.318676,10.253303,3.158354,0.695725
4.450225,0.319433,10.304040,3.178519,0.696582
4.466233,0.321078,10.354735,3.155938,0.695505
4.482241,0.321835,10.405395,3.175932,0.696358
4.498249,0.323479,10.455966,3.153625,0.695292
4.514257,0.324235,10.506546,3.173451,0.696140
4.530265,0.325878,10.556986,3.151410,0.695086
4.546273,0.327521,10.607460,3.129856,0.694044
4.562281,0.328276,10.657784,3.149292,0.694886
4.578289,0.329917,10.708112,3.127989,0.693855
4.594297,0.330672,10.758351,3.147269,0.694692
4.610305,0.332312,10.808526,3.126211,0.693672
4.626313,0.333066,10.858677,3.145339,0.694504
4.642321,0.334705,10.908692,3.124520,0.693495
4.658329,0.336343,10.958714,3.104144,0.692498
4.674337,0.337096,11.008600,3.122913,0.693324
4.690345,0.338733,11.058449,3.102763,0.692337
4.706353,0.339486,11.108240,3.121391,0.693159
4.722361,0.341122,11.157909,3.101461,0.692182
4.738369,0.342756,11.207566,3.081946,0.691216
4.754377,0.343509,11.257085,3.100236,0.692032
4.770385,0.345142,11.306550,3.080929,0.691075
4.786393,0.345894,11.355970,3.099086,0.691887
4.802401,0.347526,11.405235,3.079983,0.690940
4.818409,0.349158,11.454472,3.061266,0.690004
4.834417,0.349909,11.503612,3.079106,0.690810
4.850425,0.351539,11.552637,3.060582,0.689883
4.866433,0.353169,11.601622,3.042428,0.688967
4.882441,0.353919,11.650480,3.059962,0.689768
4.898449,0.355548,11.699242,3.041990,0.688860
4.914457,0.357175,11.747952,3.024370,0.687962
4.930465,0.357925,11.796524,3.041612,0.688757
4.946473,0.359551,11.845000,3.024165,0.687868
4.962481,0.361177,11.893415,3.007054,0.686988
4.978489,0.361925,11.941697,3.024014,0.687778
4.994497,0.363550,11.989867,3.007067,0.686907
5.010505,0.365173,12.037964,2.990442,0.686045
5.026513,0.365921,12.085953,3.007131,0.686830
5.042521,0.367543,12.133795,2.990661,0.685976
5.058529,0.369165,12.181556,2.974499,0.685131
5.074537,0.370786,12.229229,2.958636,0.684295
5.090545,0.371532,12.276743,2.974912,0.685074
