R,n_u,r,F,dF_dR
6.26031,0.00500501,0.00500501,15.0006,0.160834
6.28031,0.00500501,0.00500501,15.0039,0.161364
6.30032,0.00500501,0.00500501,15.0072,0.161895
6.32032,0.00500501,0.00500501,15.0105,0.162426
6.34032,0.00500501,0.00500501,15.0138,0.162957
6.36032,0.00500501,0.00500501,15.0171,0.163488
6.38032,0.00500501,0.00500501,15.0204,0.16402
6.40032,0.00500501,0.00500501,15.0238,0.164551
6.42032,0.00500501,0.00500501,15.0271,0.165083
6.44032,0.00500501,0.00500501,15.0305,0.165615
6.46032,0.00500501,0.00500501,15.0338,0.166147
6.48032,0.00500501,0.00500501,15.0372,0.16668
6.50033,0.00500501,0.00500501,15.0406,0.167212
6.52033,0.00500501,0.00500501,15.044,0.167745
6.54033,0.00500501,0.00500501,15.0475,0.168277
6.56033,0.00500501,0.00500501,15.0509,0.16881
6.58033,0.00500501,0.00500501,15.0543,0.169343
6.60033,0.00500501,0.00500501,15.0578,0.169877
6.62033,0.00500501,0.00500501,15.0612,0.17041
6.64033,0.00500501,0.00500501,15.0647,0.170944
6.66033,0.00500501,0.00500501,15.0682,0.171477
6.68033,0.00500501,0.00500501,15.0717,0.172011
6.70034,0.00500501,0.00500501,15.0752,0.172546
6.72034,0.00500501,0.00500501,15.0787,0.17308
6.74034,0.00500501,0.00500501,15.0823,0.173614
6.76034,0.00500501,0.00500501,15.0858,0.174149
6.78034,0.00500501,0.00500501,15.0893,0.174684
6.80034,0.00500501,0.00500501,15.0929,0.175219
6.82034,0.00500501,0.00500501,15.0965,0.175754
6.84034,0.00500501,0.00500501,15.1001,0.176289
6.86034,0.00500501,0.00500501,15.1037,0.176825
6.88034,0.00500501,0.00500501,15.1073,0.177361
6.90035,0.00500501,0.00500501,15.1109,0.177896
6.92035,0.00500501,0.00500501,15.1145,0.178432
6.94035,0.00500501,0.00500501,15.1182,0.178969
6.96035,0.00500501,0.00500501,15.1218,0.179505
6.98035,0.00500501,0.00500501,15.1255,0.180042
7.00035,0.00500501,0.00500501,15.1292,0.180578
7.02035,0.00500501,0.00500501,15.1329,0.181115
7.04035,0.00500501,0.00500501,15.1366,0.181653
7.06035,0.00500501,0.00500501,15.1403,0.18219
7.08035,0.00500501,0.00500501,15.144,0.182727
7.10036,0.00500501,0.00500501,15.1477,0.183265
7.12036,0.00500501,0.00500501,15.1515,0.183803
7.14036,0.00500501,0.00500501,15.1552,0.184341
7.16036,0.00500501,0.00500501,15.159,0.184879
7.18036,0.00500501,0.00500501,15.1628,0.185418
7.20036,0.00500501,0.00500501,15.1666,0.185956
7.22036,0.00500501,0.00500501,15.1704,0.186495
7.24036,0.00500501,0.00500501,15.1742,0.187034
7.26036,0.00500501,0.00500501,15.178,0.187573
7.28036,0.00500501,0.00500501,15.1819,0.188112
7.30037,0.00500501,0.00500501,15.1857,0.188652
7.32037,0.00500501,0.00500501,15.1896,0.189192
7.34037,0.00500501,0.00500501,15.1935,0.189732
7.36037,0.00500501,0.00500501,15.1973,0.190272
7.38037,0.00500501,0.00500501,15.2012,0.190812
7.40037,0.00500501,0.00500501,15.2051,0.191353
7.42037,0.00500501,0.00500501,15.2091,0.191893
7.44037,0.00500501,0.00500501,15.213,0.192434
7.46037,0.00500501,0.00500501,15.2169,0.192975
7.48037,0.00500501,0.00500501,15.2209,0.193517
7.50038,0.00500501,0.00500501,15.2248,0.194058
7.52038,0.00500501,0.00500501,15.2288,0.1946
7.54038,0.00500501,0.00500501,15.2328,0.195142
7.56038,0.00500501,0.00500501,15.2368,0.195684
7.58038,0.00500501,0.00500501,15.2408,0.196226
7.60038,0.00500501,0.00500501,15.2448,0.196768
7.62038,0.00500501,0.00500501,15.2489,0.197311
7.64038,0.00500501,0.00500501,15.2529,0.197854
7.66038,0.00500501,0.00500501,15.257,0.198397
7.68038,0.00500501,0.00500501,15.261,0.19894
7.70039,0.00500501,0.00500501,15.2651,0.199484
7.72039,0.00500501,0.00500501,15.2692,0.200027
7.74039,0.00500501,0.00500501,15.2733,0.200571
7.76039,0.00500501,0.00500501,15.2774,0.201115
7.78039,0.00500501,0.00500501,15.2816,0.201659
7.80039,0.00500501,0.00500501,15.2857,0.202204
7.82039,0.00500501,0.00500501,15.2899,0.202749
7.84039,0.00500501,0.00500501,15.294,0.203293
7.86039,0.00500501,0.00500501,15.2982,0.203839
7.88039,0.00500501,0.00500501,15.3024,0.204384
7.9004,0.00500501,0.00500501,15.3066,0.204929
7.9204,0.00500501,0.00500501,15.3108,0.205475
7.9404,0.00500501,0.00500501,15.315,0.206021
7.9604,0.00500501,0.00500501,15.3192,0.206567
7.9804,0.00500501,0.00500501,15.3235,0.207113
8.0004,0.00500501,0.00500501,15.3277,0.20766
8.0204,0.00500501,0.00500501,15.332,0.208207
8.0404,0.00500501,0.00500501,15.3363,0.208754
8.0604,0.00500501,0.00500501,15.3406,0.209301
8.0804,0.00500501,0.00500501,15.3449,0.209848
8.10041,0.00500501,0.00500501,15.3492,0.210396
8.12041,0.00500501,0.00500501,15.3535,0.210944
8.14041,0.00500501,0.00500501,15.3579,0.211492
8.16041,0.00500501,0.00500501,15.3622,0.21204
8.18041,0.00500501,0.00500501,15.3666,0.212588
8.20041,0.00500501,0.00500501,15.371,0.213137
8.22041,0.00500501,0.00500501,15.3753,0.213686
8.24041,0.00500501,0.00500501,15.3797,0.214235
8.26041,0.00500501,0.00500501,15.3841,0.214785
8.28041,0.00500501,0.00500501,15.3886,0.215334
8.30042,0.00500501,0.00500501,15.393,0.215884
8.32042,0.00500501,0.00500501,15.3974,0.216434
8.34042,0.00500501,0.00500501,15.4019,0.216984
8.36042,0.00500501,0.00500501,15.4064,0.217535
8.38042,0.00500501,0.00500501,15.4109,0.218085
8.40042,0.00500501,0.00500501,15.4153,0.218636
8.42042,0.00500501,0.00500501,15.4199,0.219187
8.44042,0.00500501,0.00500501,15.4244,0.219739
8.46042,0.00500501,0.00500501,15.4289,0.22029
8.48042,0.00500501,0.00500501,15.4334,0.220842
8.50043,0.00500501,0.00500501,15.438,0.221394
8.52043,0.00500501,0.00500501,15.4426,0.221946
8.54043,0.00500501,0.00500501,15.4471,0.222499
8.56043,0.00500501,0.00500501,15.4517,0.223051
8.58043,0.00500501,0.00500501,15.4563,0.223604
8.60043,0.00500501,0.00500501,15.4609,0.224157
8.62043,0.00500501,0.00500501,15.4656,0.224711
8.64043,0.00500501,0.00500501,15.4702,0.225264
8.66043,0.00500501,0.00500501,15.4749,0.225818
8.68043,0.00500501,0.00500501,15.4795,0.226372
8.70044,0.00500501,0.00500501,15.4842,0.226927
8.72044,0.00500501,0.00500501,15.4889,0.227481
8.74044,0.00500501,0.00500501,15.4936,0.228036
8.76044,0.00500501,0.00500501,15.4983,0.228591
8.78044,0.00500501,0.00500501,15.503,0.229146
8.80044,0.00500501,0.00500501,15.5077,0.229702
8.82044,0.00500501,0.00500501,15.5125,0.230257
8.84044,0.00500501,0.00500501,15.5172,0.230813
8.86044,0.00500501,0.00500501,15.522,0.231369
8.88044,0.00500501,0.00500501,15.5268,0.231926
8.90045,0.00500501,0.00500501,15.5316,0.232483
8.92045,0.00500501,0.00500501,15.5364,0.233039
8.94045,0.00500501,0.00500501,15.5412,0.233597
8.96045,0.00500501,0.00500501,15.5461,0.234154
8.98045,0.00500501,0.00500501,15.5509,0.234712
9.00045,0.00500501,0.00500501,15.5558,0.23527
9.02045,0.00500501,0.00500501,15.5606,0.235828
9.04045,0.00500501,0.00500501,15.5655,0.236386
9.06045,0.00500501,0.00500501,15.5704,0.236945
9.08045,0.00500501,0.00500501,15.5753,0.237503
9.10046,0.00500501,0.00500501,15.5802,0.238063
9.12046,0.00500501,0.00500501,15.5852,0.238622
9.14046,0.00500501,0.00500501,15.5901,0.239182
9.16046,0.00500501,0.00500501,15.595,0.239741
9.18046,0.00500501,0.00500501,15.6,0.240301
9.20046,0.00500501,0.00500501,15.605,0.240862
9.22046,0.00500501,0.00500501,15.61,0.241422
9.24046,0.00500501,0.00500501,15.615,0.241983
9.26046,0.00500501,0.00500501,15.62,0.242544
9.28046,0.00500501,0.00500501,15.625,0.243106
9.30047,0.00500501,0.00500501,15.6301,0.243667
9.32047,0.00500501,0.00500501,15.6351,0.244229
9.34047,0.00500501,0.00500501,15.6402,0.244791
9.36047,0.00500501,0.00500501,15.6453,0.245353
9.38047,0.00500501,0.00500501,15.6504,0.245916
9.40047,0.00500501,0.00500501,15.6555,0.246479
9.42047,0.00500501,0.00500501,15.6606,0.247042
9.44047,0.00500501,0.00500501,15.6657,0.247605
9.46047,0.00500501,0.00500501,15.6709,0.248169
9.48047,0.00500501,0.00500501,15.676,0.248733
9.50048,0.00500501,0.00500501,15.6812,0.249297
9.52048,0.00500501,0.00500501,15.6864,0.249862
9.54048,0.00500501,0.00500501,15.6915,0.250426
9.56048,0.00500501,0.00500501,15.6967,0.250991
9.58048,0.00500501,0.00500501,15.702,0.251556
9.60048,0.00500501,0.00500501,15.7072,0.252122
9.62048,0.00500501,0.00500501,15.7124,0.252687
9.64048,0.00500501,0.00500501,15.7177,0.253253
9.66048,0.00500501,0.00500501,15.723,0.25382
9.68048,0.00500501,0.00500501,15.7282,0.254386
9.70049,0.00500501,0.00500501,15.7335,0.254953
9.72049,0.00500501,0.00500501,15.7388,0.25552
9.74049,0.00500501,0.00500501,15.7441,0.256087
9.76049,0.00500501,0.00500501,15.7495,0.256655
9.78049,0.00500501,0.00500501,15.7548,0.257223
9.80049,0.00500501,0.00500501,15.7602,0.257791
9.82049,0.00500501,0.00500501,15.7655,0.258359
9.84049,0.00500501,0.00500501,15.7709,0.258928
9.86049,0.00500501,0.00500501,15.7763,0.259497
9.88049,0.00500501,0.00500501,15.7817,0.260066
9.9005,0.00500501,0.00500501,15.7871,0.260636
9.9205,0.00500501,0.00500501,15.7926,0.261205
9.9405,0.00500501,0.00500501,15.798,0.261775
9.9605,0.00500501,0.00500501,15.8035,0.262346
9.9805,0.00500501,0.00500501,15.8089,0.262916
10.0005,0.00500501,0.00500501,15.8144,0.263487
10.0205,0.00500501,0.00500501,15.8199,0.264058
10.0405,0.00500501,0.00500501,15.8254,0.26463
10.0605,0.00500501,0.00500501,15.8309,0.265201
10.0805,0.00500501,0.00500501,15.8365,0.265773
10.1005,0.00500501,0.00500501,15.842,0.266345
10.1205,0.00500501,0.00500501,15.8476,0.266918
10.1405,0.00500501,0.00500501,15.8532,0.267491
10.1605,0.00500501,0.00500501,15.8587,0.268064
10.1805,0.00500501,0.00500501,15.8643,0.268637
10.2005,0.00500501,0.00500501,15.8699,0.269211
10.2205,0.00500501,0.00500501,15.8756,0.269785
