,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
3.2070707070707067,-50.619312399594236,-42.45201036580954,-27.881392254994218,-25.945492469067883,-22.837158143152095,-62.58498281840185,-60.58768092494125,-21.386557466451663,-29.71084135367042,-43.18630784857664
3.2323232323232323,-50.82064030176182,-42.63144901297325,-28.021780065777378,-26.080691858521597,-23.09063931833891,-62.8183800146896,-60.81572513559374,-21.62393769063783,-29.856132286399102,-43.36771449261159
3.3333333333333335,-51.62962234793966,-43.35247497302643,-28.585890738977817,-26.623954255559934,-24.109185270302866,-63.75622389719261,-61.7320594845162,-22.57778629988043,-30.439944836892458,-44.09664831897952
3.4343434343434343,-52.44426970472428,-44.07855028620007,-29.15395188573374,-27.171021125435157,-25.13486411132466,-64.70063551122956,-62.654810933460666,-23.53831472194304,-31.027845833415384,-44.83068687734699
3.484848484848485,-52.85363585963532,-44.44340835227528,-29.439406696904637,-27.44592616150372,-25.650275104591667,-65.17520913854429,-63.11850017205823,-24.020987161186582,-31.323270311762506,-45.199546531395775
3.4974747474747474,-52.95618487124206,-44.53480778430915,-29.510915072457387,-27.514791746497362,-25.77938907089468,-65.29409306637247,-63.234657486336445,-24.14189989659578,-31.39727615688548,-45.29194838848757
3.4990530303030303,-52.969009276028125,-44.54623786340259,-29.519857648688145,-27.523403824994755,-25.795535591874852,-65.30896025611071,-63.24918369574427,-24.157020801598982,-31.40653105753758,-45.30350382719695
3.4998421717171717,-52.97542195886457,-44.5519533311568,-29.524329271821173,-27.52771018687959,-25.8036094572655,-65.31639440795253,-63.25644734464667,-24.164581820578277,-31.411158854581956,-45.309281979455506
3.5000394570707067,-52.9770251796006,-44.55338224268313,-29.52544721248866,-27.52878681094579,-25.80562798659938,-65.31825300390864,-63.25826331353779,-24.166472134308474,-31.41231583994563,-45.31072656259693
3.5001380997474745,-52.97782679747144,-44.55409670513336,-29.52600618805419,-27.529325128017316,-25.806637260712712,-65.31918231058462,-63.25917130648179,-24.167417300019935,-31.412894338041976,-45.31144886092807
3.500236742424242,-52.97862842034385,-44.5548111720414,-29.526565167107364,-27.530076369779415,-25.807646541123265,-65.32011162305889,-63.26007930509109,-24.168362471628626,-31.41347283974778,-45.31217116376588
3.500631313131313,-52.98183496184487,-44.55766908424741,-29.52880111819346,-27.53438300039074,-25.81168372573211,-65.32382893093354,-63.26371135617616,-24.172143217030424,-31.415786882662346,-45.31506042017989
3.503787878787879,-53.007490172930275,-44.58053494794688,-29.546690734489477,-27.568839912102526,-25.843984827494857,-65.35357073161312,-63.29277102598896,-24.202392574886087,-31.434301303702938,-45.33817706568657
3.5101010101010104,-53.05881592748612,-44.626280340726524,-29.582480658495598,-27.637774328092476,-25.908606335204887,-65.41307210763559,-63.3509077326144,-24.26290936859335,-31.471341210601764,-45.38442417195597
3.5353535353535355,-53.26432231911146,-44.8094431735963,-29.725782168676798,-27.9137851380939,-26.167348422599353,-65.65131338024688,-63.58368492026538,-24.505216335439435,-31.61964760529164,-45.56959584677654
3.6363636363636362,-54.08953874403562,-45.54493843933648,-30.301213224532017,-29.022113945136816,-27.20633421106259,-66.60797759734868,-64.51840795772421,-25.47820645673692,-32.215175909065735,-46.3131576712245
3.6616161616161618,-54.2966230286211,-45.72950760970389,-30.445615014088006,-29.300243986129452,-27.46706293894529,-66.84804810370737,-64.7529724254825,-25.722373874025237,-32.364621010996174,-46.4997511075767
3.6631944444444446,-54.30957596687817,-45.74105224754405,-30.454647217898515,-29.317640773411632,-27.483371289532446,-66.86306430086802,-64.76764422481415,-25.737646329329394,-32.37396866952083,-46.5114223614581
3.663983585858586,-54.31605288292154,-45.746824964788416,-30.45916363144162,-29.326339767293533,-27.49152602751254,-66.87057291755174,-64.77498063070061,-25.745283083926527,-32.37864282130512,-46.517258391091715
3.6643781565656566,-54.31929145262758,-45.749711422952146,-30.461421916091712,-29.33068941423513,-27.495603537118384,-66.87432735536804,-64.77864896014877,-25.749101592909067,-32.38097997779577,-46.520176506541794
3.664575441919192,-54.320910765396164,-45.75115467691445,-30.46255107788253,-29.332864275198652,-27.497642327068284,-66.87620460663837,-64.7804831564928,-25.75101088031481,-32.382148576186715,-46.52163558942016
3.66467408459596,-54.32172042875864,-45.75187631011511,-30.4631156636439,-29.333951715052663,-27.498661730829106,-66.8771432403633,-64.78140026256904,-25.75196553224547,-32.38273288041809,-46.52236513714705
3.6647727272727275,-54.322530096772994,-45.75259794746186,-30.460802705128756,-29.335039161154487,-27.49968114044684,-66.87808187948106,-64.78231737391444,-25.75292018966103,-32.38331718800656,-46.52309468906551
3.6679292929292933,-54.34844192823489,-45.77569253064182,-30.49693981836686,-29.369840733669356,-27.532305339176816,-66.90812117730701,-64.81166771774988,-25.783472121585397,-32.402016802522354,-46.54644256253806
3.6742424242424243,-54.40027985521046,-45.82189441020307,-30.569233951522627,-29.439463036412167,-27.597571695740136,-66.9682163091154,-64.87038456231903,-25.844592803787528,-32.439426325394805,-46.59315116211676
3.686868686868687,-54.50401258501037,-45.91434886138194,-30.713901537946388,-29.57878403051503,-27.728176018200777,-67.08847250827066,-64.98788267475831,-25.96690122894983,-32.51428641634522,-46.68661960929664
3.7373737373737375,-54.91969438474649,-46.28483590759939,-31.293619075546143,-30.137076496946886,-28.251538701497267,-67.57036779234062,-65.45872564725659,-26.45702027230694,-32.81426866297751,-47.06116997943744
3.787878787878788,-55.33655844735594,-46.65637667587073,-31.874985418848134,-30.69695683288839,-28.776389908636133,-68.05363366060153,-65.93090776947446,-26.94853328948932,-33.115104105186504,-47.436785628349355
3.8005050505050506,-55.440956263644146,-46.749423902409696,-32.02058054720787,-30.837171089039707,-28.907831605861205,-68.17466088712052,-66.04915922569572,-27.071625899943342,-33.1904441645625,-47.53085335216469
3.8068181818181817,-55.49318217889583,-46.79597158645523,-32.09341577600022,-30.90731448972752,-28.973586457675946,-68.23520580941927,-66.10831554476995,-27.133204048512397,-33.22813368428545,-47.57791154884512
3.8083964646464645,-55.50624146295162,-46.807611007711145,-32.11162849544198,-30.924854107555312,-28.990028702560636,-68.2503452920808,-66.12310780203845,-27.14860189323982,-33.237558088656655,-47.58967862568123
3.8087910353535355,-55.509506459092094,-46.81052101911112,-32.11618191953711,-30.929239247220586,-28.994139484274235,-68.2541303657684,-66.12680606472148,-27.152451560908574,-33.23991431613183,-47.592620552688146
3.808988320707071,-55.511138983423415,-46.81197604821698,-32.11845866820889,-30.931431852323875,-28.996194908194962,-68.2560229330564,-66.12865522580893,-27.154376425706683,-33.24109244882107,-47.59409153985416
3.8090869633838382,-55.51195525215372,-46.812703568620805,-32.11959705169994,-30.932528163692336,-28.997222628420516,-68.25696922431071,-66.12957981378844,-27.155338865845927,-33.24168151990315,-47.59482703935225
3.809185606060606,-55.51277152526022,-46.813431092925036,-32.120735441294116,-30.933624480938356,-28.9982503541559,-68.25791552063829,-66.13050440672485,-27.156301311145018,-33.24256989380028,-47.59556254279351
3.8099747474747474,-55.519301867633544,-46.8192514277538,-32.12984277772971,-30.94239523046977,-29.006472358365663,-68.26548607387173,-66.13790132864071,-27.164001059266887,-33.25199530899851,-47.60144671225831
3.813131313131313,-55.54542603594006,-46.842535261582725,-32.166276026748804,-30.977481987615697,-29.03936389904044,-68.29577153143842,-66.16749218652116,-27.194803351758438,-33.28970100939223,-47.62498591199001
3.8383838383838382,-55.75457994579502,-47.0289490384577,-32.457965943597344,-31.25839169372002,-29.30269838121679,-68.53824133133797,-66.4044009198077,-27.441411007608632,-33.59157835793167,-47.813444185607715
3.9393939393939394,-56.594000052114794,-47.77710369888153,-33.628636772477364,-32.38579713179128,-30.359567263942544,-69.51137171820068,-67.35521247394678,-28.431148301243674,-34.803135513053554,-48.56980424689805
4.040404040404041,-57.43777202159799,-48.5291370687653,-34.805376790334805,-33.51904745511041,-31.42191534442002,-70.48954717159435,-68.31095338556331,-29.426016757734136,-36.020973826935,-49.33008555747017
4.141414141414141,-58.28572476984994,-49.284896664762186,-35.987947399703835,-34.65791288424339,-32.48952721945399,-71.4725693552843,-69.271429867282,-30.42581465614851,-37.24484636896171,-50.094133961613146
4.242424242424242,-59.13769783057043,-50.044239467173895,-37.17612481130989,-35.80217790066962,-33.56220085452307,-72.46025224247467,-70.23646015884816,-31.430352795060138,-38.474521533894915,-50.86180487105737
4.343434343434343,-59.99354047734122,-50.80703113722131,-38.36969881929815,-36.95164006727528,-34.639746478069426,-73.45242109770625,-71.2058735323761,-32.439453457070826,-39.70978177432403,-51.63296247366052
4.444444444444445,-60.85311093457011,-51.57314531377816,-39.56847170080164,-38.10610896859093,-35.721985588040766,-74.44891156211295,-72.17950939858503,-33.45294947845665,-40.95042246180159,-52.40747902242822
4.545454545454545,-61.716275667012845,-52.342462980139274,-40.77225722509523,-39.26540525656495,-36.80875005736539,-75.44956882977229,-73.15721650204017,-34.470683411462595,-42.19625086139139,-53.18523419533724
4.57070707070707,-61.9326135390449,-52.53527964722694,-41.073966028664714,-39.55596357361434,-37.081129481427794,-75.70036691706925,-73.4022625127055,-34.725761480672205,-42.508497011812324,-53.380165582991246
4.573863636363635,-61.95967091758254,-52.55939522856624,-41.11170074995803,-39.59230370351311,-37.11519597710652,-75.73173423487066,-73.43291041825915,-34.75766409582889,-42.54754963911935,-53.4045456524404
4.575441919191918,-61.9732008645163,-52.57145414017429,-41.13056986456751,-39.61047545760274,-37.13223080840441,-75.74741935176834,-73.44823579559363,-34.77361688628557,-42.567077767993794,-53.41673682038482
4.575836489898988,-61.9765834821788,-52.574468989611304,-41.135287325815966,-39.61501857197289,-37.13648968107465,-75.75134078277735,-73.45206728823067,-34.77760523827462,-42.571959989185764,-53.419784730344645
4.575935132575756,-61.977429144775535,-52.579151231294084,-41.13646670253762,-39.61615436155329,-37.1375544095426,-75.75232115001387,-73.45302517065667,-34.778602335918,-42.573180556291774,-53.4205467152062
4.576033775252523,-61.978274810644486,-52.58065867400662,-41.137646083822744,-39.61729015552852,-37.13861914213043,-75.75330152104385,-73.45398305678911,-34.77959943741956,-42.57440112812065,-53.42130870301618
4.576231060606059,-61.9799661521986,-52.5836735769296,-41.14000486008288,-39.619561756662904,-37.14074861966515,-75.7552622744836,-73.45589884017284,-34.781593651996715,-42.576842285946405,-53.42283268748105
4.577020202020201,-61.98673164928141,-52.595733421897535,-41.149440147632106,-39.62864833696399,-37.14926669457087,-75.76310543995456,-73.4635621219401,-34.78957066460629,-42.586607106132305,-53.42892874325776
4.583333333333332,-62.04086315749265,-52.69222560701225,-41.22493295166322,-39.701351094818946,-37.217420776386106,-75.82585949496286,-73.52487690706701,-34.85339564572601,-42.66473653810219,-53.47770397577857
4.595959595959595,-62.14916625084267,-52.8852814164171,-41.37597445175094,-39.84681043690937,-37.35377939872886,-75.95141406571553,-73.64755187247579,-34.98109286157482,-42.82105324612736,-53.57529055216318
4.608585858585858,-62.25752258613755,-53.078432132314845,-41.52709020404117,-39.992341287006,-37.49020505515189,-76.0770303592623,-73.77028714506085,-35.10885285354494,-42.97744679965429,-53.67292510223865
4.610164141414141,-62.271070860085445,-53.10258262434739,-41.54598487784404,-40.010537655678064,-37.507262961011385,-76.09273672246348,-73.78563328141297,-35.12482725288284,-42.99700138039108,-53.68513278375171
