,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
2.765531062124248,-22.530050781294022,-15.55277848989871,-27.63366661353848,-33.72899772856201,-20.82701170381376,-36.58047876854833,-21.580771379573058,-32.51226460031285,-27.035330963632422,-32.19095701085691
2.7735470941883764,-22.624462077757126,-15.617951799763325,-27.749464412502142,-33.79915349973011,-20.914286481642574,-36.65531632169042,-21.671204757837387,-32.648505973297915,-27.148621460460987,-32.32585195695736
2.7815631262525047,-22.71894629979011,-15.683175451069495,-27.86535165648771,-33.86936346091345,-21.001628672621592,-36.73021168116941,-21.76170798903133,-32.78485258241616,-27.26199946561062,-32.460851099178264
2.789579158316633,-22.81350312223148,-15.748449219354134,-27.981327946676537,-33.93962737048886,-21.089037976168164,-36.80516458923765,-21.852280761693713,-32.92130395843929,-27.37546458889807,-32.595953972928584
2.797595190380761,-22.90813222219677,-15.813772881726017,-28.097392887042815,-34.04545308192711,-21.176514093804563,-36.88017478995243,-21.942922766544463,-33.057859635424954,-27.48901644287242,-32.7311601168707
2.8056112224448895,-23.00283327905744,-15.879146216851215,-28.213546084327668,-34.18619525841214,-21.264056729138446,-36.95524202915925,-22.033633696464378,-33.19451915068622,-27.602654642789823,-32.86646907289025
2.8136272545090177,-23.09760597442004,-15.944569004938712,-28.329787148013637,-34.32704390212167,-21.35166558784362,-37.030366054475316,-22.124413246475164,-33.33128204476154,-27.71637880658845,-33.001880386066404
2.821643286573146,-23.192449992105587,-16.010041027726164,-28.446115690299347,-34.46799854315897,-21.43934037764097,-37.1055466152732,-22.215261113719716,-33.46814786138497,-27.830188554863778,-33.137393604642334
2.8296593186372743,-23.287365018129186,-16.07556206846584,-28.562531326074534,-34.60905871488809,-21.52708080827962,-37.18078346266464,-22.30617699744255,-33.60511614745679,-27.9440835108441,-33.27300827999615
2.8376753507014025,-23.382350740679883,-16.141131911910687,-28.679033672895308,-34.75022395390393,-21.614886591518292,-37.25607634948465,-22.397160598970515,-33.742186453014384,-28.058063300366364,-33.40872396661206
2.845691382765531,-23.477406850100692,-16.206750344300588,-28.795622350959697,-34.89149380000255,-21.702757441106876,-37.33142503027561,-22.488211621693704,-33.87935833120348,-28.172127551852228,-33.54454022205189
2.853707414829659,-23.572533038868933,-16.272417153348755,-28.9122969830835,-35.03286779615198,-21.790693072768217,-37.40682926127173,-22.57932977104656,-34.016631338249695,-28.286275896284437,-33.68045660692695
2.8617234468937873,-23.667729001576696,-16.33813212822825,-29.029057194676334,-35.174345488463175,-21.87869320418011,-37.521673639978346,-22.670514754489226,-34.15400503343044,-28.4005079671834,-33.81647268487015
2.8697394789579156,-23.762994434911597,-16.403895059558707,-29.14590261371803,-35.31592642616137,-21.966757554957436,-37.67270285357654,-22.761766281489038,-34.291478979047085,-28.51482340058407,-33.95258802250848
2.877755511022044,-23.858329037637702,-16.469705739393156,-29.262832870735227,-35.45761016155778,-22.05488584663459,-37.82384172498442,-22.85308406350233,-34.429052740397424,-28.629221835013112,-34.088802189435754
2.885771543086172,-23.953732510576664,-16.535563961205007,-29.37984759877827,-35.59939625002156,-22.143077802648023,-37.97508977989911,-22.944467813956297,-34.56672588574851,-28.74370291146618,-34.22511475818569
2.8937875751503004,-24.049204556589103,-16.601469519875195,-29.49694643339832,-35.741284249952116,-22.231333148319017,-38.12644654725017,-23.035917248231215,-34.70449798630972,-28.858266273385645,-34.36152530420526
2.9018036072144286,-24.144744880556143,-16.66742221167943,-29.61412901262476,-35.88327372275165,-22.31965161083663,-38.27791155917042,-23.12743208364272,-34.84236861620617,-28.972911566638434,-34.49803340582835
2.909819639278557,-24.240353189361187,-16.73342183427563,-29.731394976942795,-36.025364232798154,-22.40803291924086,-38.42948435096697,-23.219012039424374,-34.98033735245238,-29.087638439494114,-34.634638644249705
2.917835671342685,-24.33602919187188,-16.79946818669146,-29.848743969271375,-36.167555347418485,-22.496476804405944,-38.58116446109265,-23.310656836710358,-35.11840377492624,-29.20244654260329,-34.77134060349914
2.9258517034068134,-24.431772598922265,-16.865561069312,-29.966175634941273,-36.30984663686195,-22.584982999023893,-38.73295143111774,-23.40236619851843,-35.25656746634332,-29.3173355289762,-34.9081388704161
2.9338677354709417,-24.527583123295166,-16.931700283867606,-30.083689621673482,-36.45223767427406,-22.673551237588168,-38.884844805701995,-23.494139849732974,-35.39482801223133,-29.43230505396152,-35.04503303462439
2.94188376753507,-24.623460479704683,-16.997885633421827,-30.201285579557773,-36.59472803567055,-22.762181256377545,-39.03684413256695,-23.585977517088324,-35.533185000905,-29.547354775225422,-35.182022688507274
2.9498997995991982,-24.719404384778986,-17.06411692235951,-30.31896316103156,-36.737317299911794,-22.850872793440175,-39.1889489624686,-23.677878929152214,-35.67163802344115,-29.662484352730893,-35.319107427182836
2.9579158316633265,-24.815414557043226,-17.13039395637501,-30.436722020858948,-36.88000504867739,-22.939625588577805,-39.34115884917031,-23.769843816309425,-35.81018667365405,-29.777693448717223,-35.45628684847953
2.9659318637274548,-24.911490716902627,-17.19671654246052,-30.554561816110013,-37.02279086644107,-23.028439383330124,-39.49347334941605,-23.861871910745613,-35.94883054807108,-29.892981727679754,-35.5935605529121
2.973947895791583,-25.00763258662581,-17.263084488894574,-30.672482206140316,-37.165674340445904,-23.11731392095939,-39.64589202290392,-23.953962946431318,-36.087569245908554,-30.008348856349823,-35.73092814365771
