r,r1,r2,r3,n1,n2,n3
3.7657657657657655,1.141141966957175,1.2552553540425544,1.3693684447660361,0.0,0.0,0.0
3.7971471471471467,1.1506520163424958,1.2657159952777994,1.3807791355268515,0.0,0.0,0.0
3.828528528528528,1.1601624582868126,1.276176860494878,1.3921892097468374,0.0,0.0,0.0
3.8599099099099097,1.1696734733730625,1.2866379099933765,1.4035985265434707,0.0,0.0,0.0
3.891291291291291,1.1791851797892425,1.29709918009237,1.4150069314096785,0.0,0.0,0.0
3.922672672672672,1.1886978435750666,1.3075607334606727,1.4264140956369329,0.0,0.0,0.0
3.9540540540540534,1.1982116519420225,1.3180229343009475,1.4378194678110836,0.0,0.0,0.0
3.985435435435435,1.207726711587026,1.3284855562968816,1.4492231675515277,0.0,0.0,0.0
4.016816816816816,1.2172433739363684,1.3389486599228255,1.4606247829576224,0.0,0.0,0.0
4.048198198198198,1.226726639620125,1.3493993512708888,1.4720722073071837,0.0,0.0,0.0
4.079579579579579,1.236236119514204,1.3598599758504069,1.4834834842149682,0.0,0.0,0.0
4.11096096096096,1.245745621416059,1.3703205370877944,1.4948948024571067,0.0,0.0,0.0
4.142342342342342,1.2552551634687836,1.380781045649323,1.5063061332242358,0.0,0.0,0.0
4.1737237237237235,1.2647645900307174,1.3912417797338599,1.5177173539591464,0.0,0.0,0.0
4.205105105105105,1.2742740590481278,1.4017025074519562,1.5291285386050206,0.0,0.0,0.0
4.236486486486486,1.2837834452446952,1.4121635564662398,1.5405394847755511,0.0,0.0,0.0
4.267867867867867,1.2932928132723596,1.422624567765848,1.5519504868296594,0.0,0.0,0.0
4.2992492492492485,1.3028022245876616,1.4330858276570526,1.5633611970045342,0.0,0.0,0.0
4.33063063063063,1.3123115386262085,1.4435473600623114,1.5747717319421095,0.0,0.0,0.0
4.362012012012012,1.3218210470287552,1.4540089827558187,1.5861819822274381,0.0,0.0,0.0
4.393393393393393,1.331330486093615,1.4644709158363864,1.5975919914633916,0.0,0.0,0.0
4.424774774774774,1.3408399573217968,1.4749329377401297,1.6090018797128478,0.0,0.0,0.0
4.456156156156156,1.3503495248041542,1.485395242566965,1.6204113887850362,0.0,0.0,0.0
4.487537537537537,1.3598591067446726,1.4958577099880057,1.6318207208048583,0.0,0.0,0.0
4.518918918918918,1.3693689956568098,1.506320227370848,1.64322969589126,0.0,0.0,0.0
4.5503003003003,1.3788787090796517,1.5167829700704065,1.654638621150242,0.0,0.0,0.0
4.581681681681681,1.38838858501437,1.5272459138536307,1.6660471828136805,0.0,0.0,0.0
4.613063063063063,1.3978985937316677,1.5377089150815764,1.6774555542498184,0.0,0.0,0.0
4.644444444444444,1.407408692897924,1.5481718035864316,1.6888639479600882,0.0,0.0,0.0
4.675825825825825,1.4169190120747115,1.558634775834608,1.7002720379165057,0.0,0.0,0.0
4.707207207207206,1.4264293572564535,1.5690977313926193,1.7116801185581336,0.0,0.0,0.0
4.738588588588588,1.4359396751190832,1.5795606215941032,1.7230882918754014,0.0,0.0,0.0
4.76996996996997,1.445444678957786,1.5899913450675836,1.7345339459446,0.0,0.0,0.0
4.801351351351351,1.4549541137317539,1.600451966831936,1.7459452707876615,0.0,0.0,0.0
4.832732732732732,1.4644635889363415,1.6109124440104234,1.757356699785967,0.0,0.0,0.0
4.8641141141141135,1.4739730870585122,1.6213730690270307,1.7687679580285705,0.0,0.0,0.0
4.895495495495495,1.4834825525710194,1.631833514170832,1.7801794287536432,0.0,0.0,0.0
4.926876876876876,1.49299191269542,1.6422942256572417,1.7915907385242142,0.0,0.0,0.0
4.958258258258257,1.5025014459589727,1.6527546413398124,1.8030021709594724,0.0,0.0,0.0
4.989639639639639,1.5120109424819814,1.663215199581617,1.814413497576041,0.0,0.0,0.0
5.021021021021021,1.521520405884967,1.67367567214899,1.8258249429870634,0.0,0.0,0.0
5.052402402402402,1.531029940104134,1.6841360707695623,1.8372363915287053,0.0,0.0,0.0
5.083783783783783,1.540539494759363,1.6945965853772107,1.8486477036472093,0.0,0.0,0.0
5.115165165165164,1.5500490293921805,1.7050570163718985,1.8600591194010851,0.0,0.0,0.0
5.146546546546546,1.559558564708638,1.7155173891000226,1.871470592737885,0.0,0.0,0.0
5.177927927927927,1.569068020585167,1.7259778079419166,1.8828820994008433,0.0,0.0,0.0
5.209309309309309,1.5785775609141837,1.7364382263443257,1.8942935220507997,0.0,0.0,0.0
5.24069069069069,1.5880871946863995,1.7468986170918992,1.9057048789123918,0.0,0.0,0.0
5.2720720720720715,1.5975967312838557,1.7573590897392188,1.9171162510489967,0.0,0.0,0.0
5.303453453453453,1.6071062515587884,1.7678193382394751,1.9285278636551892,0.0,0.0,0.0
5.334834834834834,1.6166158266640784,1.7782797642811132,1.9399392438896423,0.0,0.0,0.0
5.366216216216215,1.6261253267302025,1.788740128774498,1.9513507607115148,0.0,0.0,0.0
