r,r1,r2,r3,n1,n2,n3
3.5042542542542545,0.6371282671210334,1.2742939582918873,1.5928320288413338,0.0,0.0,0.0
3.5565565565565564,0.6466373294361368,1.2933142193361944,1.6166050077842253,0.0,0.0,0.0
3.608858858858859,0.6561461209515558,1.3123342930597353,1.640378444847568,0.0,0.0,0.0
3.661161161161161,0.6656551606226,1.3313547255259586,1.6641512750126024,0.0,0.0,0.0
3.7134634634634636,0.6751639245661133,1.3503749796387463,1.6879245592586039,0.0,0.0,0.0
3.765765765765766,0.68467277806138,1.3693956284104838,1.711697359293902,0.0,0.0,0.0
3.8180680680680683,0.694181558973473,1.3884157805958202,1.7354707284987754,0.0,0.0,0.0
3.8703703703703702,0.7036902517165659,1.4074363088673458,1.7592438097864587,0.0,0.0,0.0
3.9226726726726726,0.7131990982656012,1.4264565852389908,1.7830169891680805,0.0,0.0,0.0
3.974974974974975,0.7227079952064785,1.4454773811018646,1.8067895986666316,0.0,0.0,0.0
4.027277277277277,0.732216608575538,1.4644977623302156,1.8305629063715236,0.0,0.0,0.0
4.07957957957958,0.7417252745951447,1.4835186484392917,1.8543356565451434,0.0,0.0,0.0
4.131881881881882,0.7512340034273925,1.502539205888528,1.8781086725659613,0.0,0.0,0.0
4.1841841841841845,0.7607426717600533,1.5215598065691873,1.9018817058549438,0.0,0.0,0.0
4.236486486486487,0.7702514373771089,1.540580487923495,1.925654561185883,0.0,0.0,0.0
4.288788788788789,0.7797600991572268,1.559601398759148,1.9494272908724144,0.0,0.0,0.0
4.341091091091092,0.789268667439846,1.5786221684681898,1.9732002551830559,0.0,0.0,0.0
4.393393393393393,0.7987773899152627,1.5976427639007051,1.9969732395774253,0.0,0.0,0.0
4.4456956956956954,0.8082858695101733,1.616663665153345,2.020746161032177,0.0,0.0,0.0
4.497997997997998,0.8177945040968263,1.6356841789592174,2.0445193149419545,0.0,0.0,0.0
4.5503003003003,0.8273031748372052,1.654705105460817,2.0682920200022776,0.0,0.0,0.0
4.602602602602603,0.8368118368512077,1.6737260821279376,2.092064683623457,0.0,0.0,0.0
4.654904904904905,0.8463204234560929,1.6927465156667307,2.1158379657820814,0.0,0.0,0.0
4.707207207207207,0.8558289865787354,1.711767614453238,2.139610606175234,0.0,0.0,0.0
4.75950950950951,0.8653655839037255,1.73073216164252,2.163411763963264,0.0,0.0,0.0
4.811811811811812,0.8748751848905518,1.7497510688766993,2.1871855580445607,0.0,0.0,0.0
4.864114114114114,0.8843847572788079,1.768770263804085,2.2109590930312217,0.0,0.0,0.0
4.916416416416417,0.8938942295263,1.7877892738914658,2.234732912998651,0.0,0.0,0.0
4.968718718718719,0.903403707157986,1.8068083774101158,2.258506634150617,0.0,0.0,0.0
5.021021021021021,0.9129132708266546,1.8258273053312544,2.2822804448631113,0.0,0.0,0.0
