# lambda,sigma
2.241241e+00,6.133152e+01
2.245245e+00,6.169154e+01
2.249249e+00,6.197924e+01
2.253253e+00,6.239059e+01
2.257257e+00,6.268888e+01
2.261261e+00,6.287036e+01
2.265265e+00,6.326246e+01
2.269269e+00,6.324952e+01
2.273273e+00,6.329622e+01
2.277277e+00,6.322142e+01
2.281281e+00,6.349669e+01
2.285285e+00,6.376761e+01
2.289289e+00,6.369024e+01
2.293293e+00,6.284759e+01
2.297297e+00,6.305067e+01
2.301301e+00,6.334269e+01
2.305305e+00,6.374077e+01
2.309309e+00,6.373681e+01
2.313313e+00,6.368434e+01
2.317317e+00,6.344850e+01
2.321321e+00,6.359554e+01
2.325325e+00,6.382279e+01
2.329329e+00,6.343666e+01
2.333333e+00,6.379552e+01
2.337337e+00,6.410096e+01
2.341341e+00,6.437430e+01
2.345345e+00,6.478518e+01
2.349349e+00,6.513170e+01
2.353353e+00,6.496592e+01
2.357357e+00,6.502201e+01
2.361361e+00,6.540936e+01
2.365365e+00,6.552439e+01
2.369369e+00,6.546671e+01
2.373373e+00,6.542561e+01
2.377377e+00,6.542965e+01
2.381381e+00,6.487354e+01
2.385385e+00,6.485838e+01
2.389389e+00,6.481447e+01
2.393393e+00,6.468037e+01
2.397397e+00,6.457124e+01
2.401401e+00,6.490209e+01
2.405405e+00,6.495321e+01
2.409409e+00,6.516062e+01
2.413413e+00,6.485566e+01
2.417417e+00,6.482271e+01
2.421421e+00,6.473391e+01
2.425425e+00,6.482251e+01
2.429429e+00,6.491495e+01
2.433433e+00,6.508120e+01
2.437437e+00,6.509207e+01
2.441441e+00,6.517821e+01
2.445445e+00,6.495980e+01
2.449449e+00,6.501840e+01
2.453453e+00,6.515871e+01
2.457457e+00,6.548619e+01
2.461461e+00,6.549927e+01
2.465465e+00,6.541568e+01
2.469469e+00,6.578986e+01
2.473473e+00,6.617584e+01
2.477477e+00,6.655577e+01
2.481481e+00,6.689437e+01
2.485485e+00,6.672681e+01
2.489489e+00,6.643285e+01
2.493493e+00,6.634212e+01
2.497497e+00,6.625450e+01
2.501502e+00,6.629535e+01
2.505506e+00,6.626374e+01
2.509510e+00,6.592164e+01
2.513514e+00,6.579112e+01
2.517518e+00,6.583048e+01
2.521522e+00,6.572510e+01
2.525526e+00,6.513703e+01
2.529530e+00,6.467650e+01
2.533534e+00,6.383222e+01
2.537538e+00,6.395019e+01
2.541542e+00,6.410392e+01
2.545546e+00,6.389184e+01
2.549550e+00,6.372567e+01
2.553554e+00,6.352044e+01
2.557558e+00,6.357316e+01
2.561562e+00,6.357474e+01
2.565566e+00,6.364438e+01
2.569570e+00,6.374210e+01
2.573574e+00,6.397302e+01
2.577578e+00,6.417698e+01
2.581582e+00,6.430368e+01
2.585586e+00,6.450668e+01
2.589590e+00,6.483057e+01
2.593594e+00,6.486551e+01
2.597598e+00,6.493001e+01
2.601602e+00,6.522203e+01
2.605606e+00,6.549255e+01
2.609610e+00,6.547542e+01
2.613614e+00,6.557885e+01
2.617618e+00,6.584805e+01
2.621622e+00,6.564403e+01
2.625626e+00,6.551027e+01
2.629630e+00,6.581716e+01
2.633634e+00,6.615080e+01
2.637638e+00,6.613270e+01
2.641642e+00,6.597930e+01
2.645646e+00,6.628210e+01
2.649650e+00,6.660272e+01
2.653654e+00,6.626752e+01
2.657658e+00,6.603316e+01
2.661662e+00,6.617714e+01
2.665666e+00,6.649392e+01
2.669670e+00,6.664671e+01
2.673674e+00,6.640591e+01
2.677678e+00,6.570186e+01
2.681682e+00,6.574323e+01
2.685686e+00,6.598980e+01
2.689690e+00,6.609989e+01
2.693694e+00,6.621960e+01
2.697698e+00,6.628370e+01
2.701702e+00,6.619596e+01
2.705706e+00,6.637516e+01
2.709710e+00,6.666652e+01
2.713714e+00,6.694057e+01
2.717718e+00,6.703835e+01
2.721722e+00,6.710610e+01
2.725726e+00,6.719303e+01
2.729730e+00,6.718672e+01
2.733734e+00,6.742546e+01
2.737738e+00,6.775863e+01
2.741742e+00,6.807618e+01
2.745746e+00,6.840441e+01
2.749750e+00,6.840780e+01
2.753754e+00,6.821132e+01
2.757758e+00,6.810536e+01
2.761762e+00,6.834625e+01
2.765766e+00,6.865672e+01
2.769770e+00,6.894293e+01
2.773774e+00,6.920715e+01
2.777778e+00,6.921479e+01
2.781782e+00,6.908297e+01
2.785786e+00,6.934219e+01
2.789790e+00,6.965522e+01
2.793794e+00,6.998079e+01
2.797798e+00,6.992835e+01
2.801802e+00,6.971205e+01
2.805806e+00,6.978602e+01
2.809810e+00,6.985414e+01
2.813814e+00,6.971441e+01
2.817818e+00,6.959037e+01
2.821822e+00,6.928619e+01
2.825826e+00,6.954438e+01
2.829830e+00,6.966277e+01
2.833834e+00,6.964749e+01
2.837838e+00,6.980763e+01
2.841842e+00,6.987644e+01
2.845846e+00,7.014325e+01
2.849850e+00,7.020857e+01
2.853854e+00,7.028810e+01
2.857858e+00,7.048331e+01
2.861862e+00,7.016068e+01
2.865866e+00,7.015478e+01
2.869870e+00,7.028843e+01
2.873874e+00,7.018797e+01
2.877878e+00,7.041640e+01
2.881882e+00,7.072924e+01
2.885886e+00,7.082847e+01
2.889890e+00,7.091395e+01
2.893894e+00,7.075157e+01
2.897898e+00,7.042250e+01
2.901902e+00,7.008266e+01
2.905906e+00,7.016478e+01
2.909910e+00,6.994749e+01
2.913914e+00,6.995362e+01
2.917918e+00,7.022983e+01
2.921922e+00,7.053899e+01
2.925926e+00,7.085366e+01
2.929930e+00,7.104603e+01
2.933934e+00,7.066047e+01
2.937938e+00,7.089276e+01
2.941942e+00,7.120891e+01
2.945946e+00,7.152273e+01
2.949950e+00,7.169834e+01
2.953954e+00,7.185780e+01
2.957958e+00,7.208084e+01
2.961962e+00,7.182047e+01
2.965966e+00,7.178554e+01
2.969970e+00,7.194837e+01
2.973974e+00,7.203761e+01
2.977978e+00,7.201811e+01
2.981982e+00,7.194624e+01
2.985986e+00,7.224515e+01
2.989990e+00,7.226917e+01
2.993994e+00,7.210712e+01
2.997998e+00,7.189886e+01
3.002002e+00,7.180422e+01
3.006006e+00,7.161380e+01
3.010010e+00,7.173730e+01
3.014014e+00,7.180799e+01
3.018018e+00,7.153690e+01
3.022022e+00,7.125668e+01
3.026026e+00,7.147128e+01
3.030030e+00,7.175056e+01
3.034034e+00,7.203188e+01
3.038038e+00,7.215881e+01
3.042042e+00,7.232320e+01
3.046046e+00,7.225117e+01
3.050050e+00,7.234815e+01
3.054054e+00,7.240841e+01
3.058058e+00,7.242181e+01
3.062062e+00,7.244511e+01
3.066066e+00,7.269255e+01
3.070070e+00,7.276335e+01
3.074074e+00,7.296495e+01
3.078078e+00,7.325965e+01
3.082082e+00,7.350467e+01
3.086086e+00,7.360646e+01
3.090090e+00,7.325677e+01
3.094094e+00,7.313569e+01
3.098098e+00,7.282674e+01
3.102102e+00,7.265441e+01
3.106106e+00,7.294411e+01
3.110110e+00,7.316190e+01
3.114114e+00,7.301580e+01
3.118118e+00,7.302623e+01
3.122122e+00,7.330790e+01
3.126126e+00,7.359552e+01
3.130130e+00,7.389666e+01
3.134134e+00,7.418814e+01
3.138138e+00,7.406341e+01
3.142142e+00,7.394285e+01
3.146146e+00,7.391717e+01
3.150150e+00,7.369058e+01
3.154154e+00,7.365309e+01
3.158158e+00,7.390443e+01
3.162162e+00,7.394850e+01
3.166166e+00,7.379559e+01
3.170170e+00,7.397587e+01
3.174174e+00,7.421826e+01
3.178178e+00,7.422078e+01
3.182182e+00,7.443656e+01
3.186186e+00,7.422168e+01
3.190190e+00,7.391641e+01
3.194194e+00,7.397441e+01
3.198198e+00,7.384558e+01
3.202202e+00,7.363050e+01
3.206206e+00,7.380371e+01
3.210210e+00,7.385376e+01
3.214214e+00,7.371236e+01
3.218218e+00,7.366505e+01
3.222222e+00,7.352920e+01
3.226226e+00,7.375987e+01
3.230230e+00,7.392654e+01
3.234234e+00,7.387013e+01
3.238238e+00,7.397658e+01
3.242242e+00,7.385049e+01
3.246246e+00,7.400995e+01
3.250250e+00,7.398093e+01
3.254254e+00,7.415965e+01
3.258258e+00,7.409580e+01
3.262262e+00,7.409276e+01
3.266266e+00,7.406870e+01
3.270270e+00,7.408756e+01
3.274274e+00,7.420838e+01
3.278278e+00,7.426862e+01
3.282282e+00,7.369158e+01
3.286286e+00,7.283791e+01
3.290290e+00,7.237951e+01
3.294294e+00,7.253448e+01
3.298298e+00,7.277438e+01
3.302302e+00,7.302154e+01
3.306306e+00,7.310873e+01
3.310310e+00,7.330046e+01
3.314314e+00,7.335401e+01
3.318318e+00,7.314618e+01
3.322322e+00,7.324349e+01
3.326326e+00,7.332146e+01
3.330330e+00,7.330177e+01
3.334334e+00,7.339272e+01
3.338338e+00,7.337684e+01
3.342342e+00,7.352229e+01
3.346346e+00,7.369089e+01
3.350350e+00,7.360342e+01
3.354354e+00,7.352155e+01
3.358358e+00,7.321392e+01
