f,R_opt,n_opt,F_min,tension
5.81,84.36,1.995,-190.092,5.80921
5.82,84.38,1.995,-190.935,5.81852
5.83,84.4,1.995,-191.779,5.82785
5.84,84.42,1.995,-192.623,5.8372
5.85,84.44,1.995,-193.468,5.84658
5.86,84.46,1.995,-194.312,5.85597
5.87,84.48,1.995,-195.157,5.86539
5.88,84.52,1.995,-196.002,5.8843
5.89,84.64,2,-196.848,5.88647
5.9,84.66,2,-197.695,5.89595
5.91,84.68,2,-198.542,5.90545
5.92,84.72,2,-199.389,5.92452
5.93,84.74,2,-200.236,5.93408
5.94,84.76,2,-201.083,5.94367
5.95,84.78,2,-201.931,5.95329
5.96,84.8,2,-202.779,5.96292
5.97,84.82,2,-203.627,5.97258
5.98,84.96,2.005,-204.476,5.98435
5.99,84.98,2.005,-205.326,5.99405
6,85,2.005,-206.175,6.00377
6.01,85.02,2.005,-207.025,6.01351
6.02,85.04,2.005,-207.876,6.02328
6.03,85.06,2.005,-208.726,6.03307
6.04,85.08,2.005,-209.577,6.04288
6.05,85.1,2.005,-210.428,6.05272
6.06,85.12,2.005,-211.279,6.06258
6.07,85.26,2.01,-212.131,6.07447
6.08,85.28,2.01,-212.984,6.08437
6.09,85.3,2.01,-213.836,6.09429
6.1,85.32,2.01,-214.689,6.10424
6.11,85.34,2.01,-215.543,6.11421
6.12,85.36,2.01,-216.396,6.1242
6.13,85.38,2.01,-217.25,6.13422
6.14,85.4,2.01,-218.103,6.14426
6.15,85.42,2.01,-218.957,6.15433
6.16,85.54,2.015,-219.813,6.15626
6.17,85.56,2.015,-220.668,6.16634
6.18,85.58,2.015,-221.524,6.17645
6.19,85.6,2.015,-222.38,6.18658
6.2,85.62,2.015,-223.236,6.19673
6.21,85.64,2.015,-224.093,6.20691
6.22,85.66,2.015,-224.949,6.21712
6.23,85.68,2.015,-225.806,6.22734
6.24,85.82,2.02,-226.663,6.23945
6.25,85.84,2.02,-227.521,6.24972
6.26,85.86,2.02,-228.38,6.26001
6.27,85.88,2.02,-229.238,6.27033
6.28,85.9,2.02,-230.097,6.28067
6.29,85.92,2.02,-230.956,6.29104
6.3,85.94,2.02,-231.816,6.30144
6.31,85.96,2.02,-232.675,6.31186
6.32,85.98,2.02,-233.535,6.3223
6.33,86.12,2.025,-234.395,6.33453
6.34,86.14,2.025,-235.256,6.34502
6.35,86.14,2.025,-236.118,6.34502
6.36,108.34,2.975,-237.037,6.35907
6.37,108.36,2.975,-238.12,6.36745
6.38,108.38,2.975,-239.204,6.37585
6.39,108.54,2.98,-240.288,6.39405
6.4,108.56,2.98,-241.374,6.4025
6.41,108.58,2.98,-242.459,6.41096
6.42,108.6,2.98,-243.545,6.41943
6.43,108.62,2.98,-244.631,6.42793
6.44,108.64,2.98,-245.718,6.43643
6.45,108.68,2.98,-246.804,6.4535
6.46,108.7,2.98,-247.891,6.46206
6.47,108.72,2.98,-248.978,6.47064
6.48,108.86,2.985,-250.066,6.48052
6.49,108.88,2.985,-251.155,6.48912
6.5,108.9,2.985,-252.244,6.49774
6.51,108.92,2.985,-253.333,6.50637
6.52,108.96,2.985,-254.422,6.5237
6.53,108.98,2.985,-255.512,6.53238
6.54,109,2.985,-256.602,6.54109
6.55,109.02,2.985,-257.692,6.54981
6.56,109.04,2.985,-258.782,6.55855
6.57,109.18,2.99,-259.874,6.56852
6.58,109.2,2.99,-260.966,6.57728
6.59,109.22,2.99,-262.058,6.58606
6.6,109.26,2.99,-263.15,6.60368
6.61,109.28,2.99,-264.243,6.61252
6.62,109.3,2.99,-265.336,6.62137
