r,f
28.077604454738754,1.049507107044226
28.124952860227353,1.0530454555637143
28.172301265715948,1.056426109128301
28.219649671204547,1.0597874915219898
28.266998076693145,1.0633776227733902
28.314346482181744,1.066997934597737
28.361694887670343,1.0707288724553652
28.40904329315894,1.0743533691824658
28.45639169864754,1.0781406884667981
28.50374010413614,1.081981382376578
28.551088509624737,1.0857604880051432
28.598436915113332,1.0890900151158363
28.64578532060193,1.0922128302302545
28.69313372609053,1.0952221937967712
28.740482131579128,1.0940751539478688
28.787830537067727,1.0915063679548884
28.835178942556325,1.083571198792334
28.882527348044924,1.0784291054087727
28.929875753533523,1.0765050347009333
28.977224159022118,1.0766488976141786
29.024572564510716,1.0800686649151223
29.071920969999315,1.0835505419910634
29.119269375487914,1.0869718339323313
29.166617780976512,1.0906256339294376
29.21396618646511,1.0942480478730825
29.26131459195371,1.0978141207188763
29.30866299744231,1.101475102133234
29.356011402930907,1.1048643212269054
29.403359808419502,1.1082675698975937
29.4507082139081,1.1116414736885163
29.4980566193967,1.11496918132539
29.545405024885298,1.1184599313307428
29.592753430373897,1.119423394842876
29.640101835862495,1.1160209223792603
29.687450241351094,1.112858210535326
29.734798646839693,1.1095222364787662
29.78214705232829,1.1118394145025299
29.829495457816886,1.1154942421905858
29.876843863305485,1.11921633415803
29.924192268794084,1.1229825105246418
29.971540674282682,1.1247475266737912
30.01888907977128,1.1211689534814318
30.06623748525988,1.1177631884753843
30.113585890748478,1.1146055324856454
30.160934296237077,1.1164960070193117
30.208282701725672,1.1202044786641825
30.25563110721427,1.12366346063374
30.30297951270287,1.1271063643890762
30.350327918191468,1.1307293721891516
30.397676323680066,1.1286943209158964
30.445024729168665,1.124019268205792
30.492373134657264,1.1193508279828142
30.539721540145862,1.1107921778275263
30.58706994563446,1.1091836297548583
30.634418351123056,1.1076265853935905
30.681766756611655,1.1077670602845222
30.729115162100253,1.1111662012479617
30.776463567588852,1.1144560074430843
30.82381197307745,1.1179031058794786
30.87116037856605,1.1215951801814685
30.918508784054648,1.12502706080605
30.965857189543247,1.1285346325848133
31.013205595031845,1.1319093320269633
31.06055400052044,1.1353904707122822
31.10790240600904,1.1388537137786103
31.155250811497638,1.1421923589144587
31.202599216986236,1.1459189958686538
31.249947622474835,1.1498045726370825
31.297296027963434,1.1540266800885783
31.344644433452032,1.1579798404370385
31.39199283894063,1.1614999703841902
31.439341244429226,1.1648814288125213
31.486689649917825,1.168155793522873
31.534038055406423,1.1679949013158137
31.581386460895022,1.166374592173067
31.62873486638362,1.1649305498453104
31.67608327187222,1.1655305627549402
31.723431677360818,1.1691475564617495
31.770780082849416,1.1728989001279237
31.818128488338015,1.1766982976821903
31.86547689382661,1.1806446063861398
31.91282529931521,1.1807261064135397
31.960173704803807,1.1773050339146593
32.007522110292406,1.1737472607867832
32.054870515781005,1.1633145020982147
32.1022189212696,1.1575576857229153
32.1495673267582,1.1523938791100579
32.1969157322468,1.1519307749027088
32.2442641377354,1.1557308724828739
32.291612543224,1.159462668909022
32.3389609487126,1.1629512159215485
32.386309354201195,1.1661609084722258
32.433657759689794,1.1694246539686728
32.481006165178385,1.172834504744984
32.528354570666984,1.1763690167519998
32.57570297615558,1.179728307595262
32.62305138164418,1.183135021098279
32.67039978713278,1.1867555210933
32.71774819262138,1.1906970357728275
32.76509659810998,1.1947616943379515
32.812445003598576,1.1986717672465805
32.859793409087175,1.2024013196468306
32.90714181457577,1.205985350871808
32.95449022006437,1.2096905816603296
33.00183862555297,1.2127159045758862
33.04918703104157,1.2046077161188147
33.09653543653017,1.1915053749030509
33.14388384201877,1.1782552196254183
33.191232247507365,1.1706137083354875
33.238580652995964,1.1737507943942522
33.285929058484555,1.1769233677690074
33.333277463973154,1.1802646900854563
33.38062586946175,1.1836266533563862
33.42797427495035,1.1873781358512019
33.47532268043895,1.1910708807397175
33.52267108592755,1.1910304955876738
33.57001949141615,1.189662179369872
33.617367896904746,1.1850285858202347
33.664716302393344,1.177029123854904
33.71206470788194,1.173327374847743
33.75941311337054,1.1707180828507147
33.80676151885914,1.173938759404346
33.85410992434774,1.1772834573106767
33.90145832983634,1.1809299581268846
33.948806735324936,1.17797788401909
33.996155140813535,1.174449986159557
34.043503546302134,1.1669161423376833
34.09085195179073,1.159277491544489
34.138200357279324,1.1565056216845797
34.18554876276792,1.1556621748833658
34.23289716825652,1.1589471769273116
34.28024557374512,1.1622556636159047
34.32759397923372,1.1657931059416544
34.37494238472232,1.169294570104578
34.422290790210916,1.172229515265902
34.469639195699514,1.1683860744387762
34.51698760118811,1.1645320667078873
34.56433600667671,1.1605949264487456
34.61168441216531,1.1599540337524576
34.65903281765391,1.156368784767756
34.70638122314251,1.1526631037766184
34.753729628631106,1.149129033260785
34.801078034119705,1.1501038394337957
34.8484264396083,1.1534335940861526
34.8957748450969,1.1568718515901772
34.943123250585494,1.1602388789117348
34.99047165607409,1.163592140956122
35.03782006156269,1.1670047936483428
35.08516846705129,1.170505633573503
35.13251687253989,1.174054160596552
35.17986527802849,1.1773790796239374
35.227213683517085,1.1762338079935613
35.274562089005684,1.1738467660477474
