,Domain_1,Domain_2,Domain_3,Domain_4
1.212121212121212e+00,-1.554213283215826e+01,-1.694791139194907e+01,-1.164435831524862e+01,-7.733869234050779e+00
1.262626262626263e+00,-1.567213809121034e+01,-1.708602407398531e+01,-1.175188428232019e+01,-8.279338255510947e+00
1.275252525252525e+00,-1.570505193643142e+01,-1.712099050128799e+01,-1.177910697364242e+01,-8.417436383818551e+00
1.281565656565657e+00,-1.572156937731408e+01,-1.713853800726823e+01,-1.179276837332275e+01,-8.486739367259247e+00
1.284722222222222e+00,-1.572984312153594e+01,-1.714732772095592e+01,-1.179961149917200e+01,-8.521453894943861e+00
1.286300505050505e+00,-1.573398373646839e+01,-1.715172655403213e+01,-1.180303615774450e+01,-8.538826862713883e+00
1.287089646464647e+00,-1.573605497800574e+01,-1.715392696289216e+01,-1.180474925959104e+01,-8.547517265723915e+00
1.287484217171717e+00,-1.573709083208830e+01,-1.715502741518604e+01,-1.180560600348575e+01,-8.551863446154689e+00
1.287681502525253e+00,-1.573760881743259e+01,-1.715557770327190e+01,-1.180603442365490e+01,-8.554036780994682e+00
1.287780145202020e+00,-1.573786782467730e+01,-1.715585286279618e+01,-1.180504345641414e+01,-8.555123509557482e+00
1.287878787878788e+00,-1.573812684163585e+01,-1.715612803264007e+01,-1.180654306579755e+01,-8.556210278877067e+00
1.313131313131313e+00,-1.580475217944599e+01,-1.722690827771341e+01,-1.219227882389061e+01,-8.835753261097434e+00
1.363636363636364e+00,-1.593985309027902e+01,-1.737043438793956e+01,-1.297446250913880e+01,-9.402602342186896e+00
1.376262626262626e+00,-1.597400331867111e+01,-1.740671430207359e+01,-1.317217954399139e+01,-9.545888020008675e+00
1.377840909090909e+00,-1.597828243472687e+01,-1.741126027351747e+01,-1.319695402364118e+01,-9.563842103287078e+00
1.378235479797980e+00,-1.597935257107549e+01,-1.741239714599733e+01,-1.320314971238762e+01,-9.568332123392164e+00
1.378432765151515e+00,-1.597988769281435e+01,-1.741296563914221e+01,-1.320624786687952e+01,-9.570577358187936e+00
1.378531407828283e+00,-1.596900853274478e+01,-1.741324989993788e+01,-1.320779702163873e+01,-9.571700031759743e+00
1.378630050505051e+00,-1.597088158431163e+01,-1.741353417021455e+01,-1.320934622806720e+01,-9.572822742776296e+00
1.379419191919192e+00,-1.598586840662973e+01,-1.741580867364098e+01,-1.322174173902608e+01,-9.581805778512269e+00
1.382575757575758e+00,-1.604585595257146e+01,-1.742491274584676e+01,-1.327135680026796e+01,-9.617761849194352e+00
1.388888888888889e+00,-1.616602205996854e+01,-1.744314987992610e+01,-1.337074490965146e+01,-9.689788483778756e+00
1.401515151515151e+00,-1.640711320077595e+01,-1.747973932727931e+01,-1.357014882805233e+01,-9.834296647325157e+00
1.403093434343434e+00,-1.643732029891849e+01,-1.748432373889841e+01,-1.359513279765391e+01,-9.852402548122782e+00
1.403290719696970e+00,-1.644109728612513e+01,-1.748489695728416e+01,-1.359825670360181e+01,-9.854666445017301e+00
