,Domain_1,Domain_2,Domain_3,Domain_4
1.399936868686869e+00,5.279606707355152e-01,5.279606672808080e-01,5.279606698873536e-01,5.279606690909090e-01
1.400035511363636e+00,5.279778138505050e-01,5.279778197979798e-01,5.279778150917172e-01,5.279778197979798e-01
1.400134154040404e+00,5.279949558690910e-01,5.279949542141413e-01,5.279949578343435e-01,5.279949569717717e-01
1.400331439393939e+00,5.280292370101011e-01,5.280292320969696e-01,5.280292266666667e-01,5.280292343319198e-01
1.400726010101010e+00,5.280977738989899e-01,5.280977751919191e-01,5.280977693995960e-01,5.280977753421213e-01
1.401515151515151e+00,5.282347765656564e-01,5.282347726868686e-01,5.282347744969698e-01,5.282347804444446e-01
1.407828282828283e+00,5.293272759595958e-01,5.293272826828282e-01,5.293272761664646e-01,5.293272749252524e-01
1.410984848484849e+00,5.298711749559597e-01,5.298711854545454e-01,5.298711854545455e-01,5.298711775935354e-01
1.412563131313131e+00,5.301425389898990e-01,5.301425376969697e-01,5.301425340767676e-01,5.301425402828281e-01
1.413352272727273e+00,5.302780767676768e-01,5.302780762505050e-01,5.302780690101011e-01,5.302780767676768e-01
1.413450915404041e+00,5.302950141414141e-01,5.302950025050504e-01,5.302950101074748e-01,5.302950117624244e-01
1.413549558080808e+00,5.303119422060605e-01,5.303119417199192e-01,5.303119467007694e-01,5.303119455676767e-01
1.413746843434343e+00,5.303458068686868e-01,5.303458138505049e-01,5.303458068075230e-01,5.303458122989898e-01
1.414141414141414e+00,5.304135201616161e-01,5.304135119903030e-01,5.304135143484138e-01,5.304135140589897e-01
1.439393939393939e+00,5.346968712533333e-01,5.346968662367676e-01,5.346968711188687e-01,5.346968731151515e-01
1.452020202020202e+00,5.368022683772121e-01,5.368022703838383e-01,5.368022668153536e-01,5.368022659878787e-01
1.458333333333333e+00,5.378460656484848e-01,5.378460651313131e-01,5.378460630626263e-01,5.378460617696968e-01
1.461489898989899e+00,5.383657544404040e-01,5.383657632323232e-01,5.383657562505051e-01,5.383657554747474e-01
1.462279040404040e+00,5.384954495431112e-01,5.384954442989899e-01,5.384954468331313e-01,5.384954463676768e-01
1.462673611111111e+00,5.385602578101011e-01,5.385602585858585e-01,5.385602619474746e-01,5.385602650505049e-01
1.462870896464646e+00,5.385926614626262e-01,5.385926503434343e-01,5.385926592387879e-01,5.385926593939393e-01
1.462969539141414e+00,5.386088533333333e-01,5.386088535800914e-01,5.386088533333333e-01,5.386088569535353e-01
1.463068181818182e+00,5.386250537373738e-01,5.386250511667351e-01,5.386250472727272e-01,5.386250501171717e-01
1.464646464646465e+00,5.388839873939394e-01,5.388839840323232e-01,5.388839842909090e-01,5.388839873939394e-01
1.515151515151515e+00,5.469813964800002e-01,5.469813999450505e-01,5.469813964282829e-01,5.469813992727272e-01
1.616161616161616e+00,5.621466138065455e-01,5.621466145616161e-01,5.621466174060605e-01,5.621466122343435e-01
1.717171717171717e+00,5.760730375757576e-01,5.760730390238384e-01,5.760730401616161e-01,5.760730409580606e-01
1.818181818181818e+00,5.889024333058586e-01,5.889024368226262e-01,5.889024317543433e-01,5.889024363054545e-01
1.919191919191919e+00,6.007574530792728e-01,6.007574527999999e-01,6.007574538860606e-01,6.007574522828282e-01
2.020202020202020e+00,6.117443294383837e-01,6.117443268525252e-01,6.117443299555556e-01,6.117443312484847e-01
2.121212121212121e+00,6.219552517688889e-01,6.219552517171717e-01,6.219552555959595e-01,6.219552478383837e-01
2.222222222222222e+00,6.314703934060605e-01,6.314703954747474e-01,6.314703903030303e-01,6.314703946989899e-01
