,Domain_1,Domain_2,Domain_3,Domain_4
1.325757575757576e+00,1.638943517902524e+01,3.068798114600605e+00,2.597740446499484e+00,1.263226734521005e+01
1.338383838383838e+00,1.646384413899524e+01,3.082730667991431e+00,2.609534301682023e+00,1.268961858154908e+01
1.363636363636364e+00,1.661006382924265e+01,3.110109176980582e+00,2.632710271042077e+00,1.280231830955763e+01
1.366792929292930e+00,1.662810171715273e+01,3.113486649236002e+00,2.635569311694179e+00,1.281622123518718e+01
1.367582070707071e+00,1.663260312858355e+01,3.114329495332495e+00,2.636282773276768e+00,1.281969064577650e+01
1.367779356060606e+00,1.663372792555284e+01,3.114540142092050e+00,2.636461068772751e+00,1.282055757409496e+01
1.367877998737374e+00,1.663429023756596e+01,3.114645438486589e+00,1.845560337750076e+01,1.282099099001336e+01
1.367976641414142e+00,1.663485261381506e+01,3.114750734881130e+00,1.845627467524015e+01,1.282142447194553e+01
1.368371212121212e+00,1.663710117833066e+01,3.115171704577394e+00,1.845895904713808e+01,1.282315751102734e+01
1.369949494949495e+00,1.664608736736387e+01,3.116854396012029e+00,1.846894028614623e+01,1.283008374515813e+01
1.376262626262626e+00,1.668190186607658e+01,3.123560335332588e+00,1.850867668486386e+01,1.285768798479069e+01
1.388888888888889e+00,1.675291021202928e+01,3.136856058719819e+00,1.858746090207324e+01,1.291241809834869e+01
1.414141414141414e+00,1.689248969971534e+01,3.162991314666761e+00,1.874232504912881e+01,1.301999992229327e+01
1.426767676767677e+00,1.696108651114034e+01,3.175835596628174e+00,1.881843385987174e+01,1.307287148987450e+01
1.433080808080808e+00,1.699509231695680e+01,3.182202871225134e+00,1.885616355160498e+01,1.309908155381129e+01
1.433869949494949e+00,1.699932936432884e+01,3.182996291161646e+00,1.886086465583528e+01,1.310234731421818e+01
1.434264520202020e+00,1.700144681000311e+01,3.183392704292296e+00,1.886321386934902e+01,1.310397936620276e+01
1.434461805555555e+00,1.700250529401412e+01,3.183590883872384e+00,1.886438822062946e+01,1.310479515670364e+01
1.434560448232323e+00,1.700303438910036e+01,3.183689956391876e+00,1.886497536136554e+01,1.310520301590041e+01
1.434659090909091e+00,1.700356342060946e+01,2.228603555108343e+01,1.886556245239519e+01,1.310561081086070e+01
1.436237373737374e+00,1.701202255824929e+01,2.229761081449840e+01,1.887494785752465e+01,1.311213080643267e+01
1.439393939393939e+00,1.702890504749174e+01,2.231973842814280e+01,1.889367879299450e+01,1.312514286537500e+01
1.464646464646465e+00,1.716225521502563e+01,2.249452022107177e+01,1.904163167603892e+01,1.322792349442184e+01
1.515151515151515e+00,1.742013990268427e+01,2.283252890333631e+01,1.932775655109173e+01,1.342668974105621e+01
1.616161616161616e+00,1.790311822425282e+01,2.346556705801407e+01,1.986362404656828e+01,1.379894859114399e+01
1.717171717171717e+00,1.834664376814719e+01,2.404689495101675e+01,2.035571860855953e+01,1.414079899852518e+01
1.818181818181818e+00,1.875523139582722e+01,2.458242982954189e+01,2.080904914652496e+01,1.445572064400766e+01
1.919191919191919e+00,1.913278748588327e+01,2.507729124207139e+01,2.122794985267477e+01,1.474672453351299e+01
2.020202020202020e+00,1.948269490903331e+01,2.553591403959081e+01,2.161617451260766e+01,1.501641806099010e+01
2.121212121212121e+00,1.980789006190397e+01,2.596214662344011e+01,2.197698063892285e+01,1.526706424942263e+01
2.222222222222222e+00,2.011092603077805e+01,2.635933500972373e+01,2.231320099730830e+01,1.550063145157758e+01
2.323232323232323e+00,2.039402995433752e+01,2.673039837113519e+01,2.262730651623890e+01,1.571883556200009e+01
2.424242424242424e+00,2.065914851263014e+01,2.707788873477773e+01,2.292145759972636e+01,1.592317761947005e+01
2.525252525252525e+00,2.090799019040077e+01,2.740404432010422e+01,2.319754861091760e+01,1.611497392578269e+01
2.626262626262626e+00,2.114205688943608e+01,2.771083531667306e+01,2.345724725530184e+01,1.629538246394992e+01
2.727272727272727e+00,2.136267497266769e+01,2.799999877282135e+01,2.370202446852799e+01,1.646542531749078e+01
2.828282828282828e+00,2.157101786041855e+01,2.827307320973626e+01,2.393318214784028e+01,1.662600702098878e+01
2.929292929292929e+00,2.176812755934354e+01,2.853142425527132e+01,2.415187663471066e+01,1.677793059382014e+01
3.030303030303030e+00,2.195493168496802e+01,2.877626790176646e+01,2.435913699839814e+01,1.692191108846349e+01
3.131313131313131e+00,2.213225861479417e+01,2.900868985122481e+01,2.455588233268935e+01,1.705858707181725e+01
3.232323232323232e+00,2.230085006702645e+01,2.922966212742443e+01,2.474293561887518e+01,1.718853004739513e+01
