,Domain_1,Domain_2
1.410590277777778e+00,-1.797534862642886e+01,-1.119336610692163e+01
1.410787563131313e+00,-1.797593425119975e+01,-1.119592208773802e+01
1.410886205808081e+00,-1.797622707765822e+01,-1.119720013956844e+01
1.410984848484849e+00,-1.796051988620099e+01,-1.119847823234213e+01
1.414141414141414e+00,-1.802614954040624e+01,-1.123939879719260e+01
1.515151515151515e+00,-2.016068836216039e+01,-1.257029494958542e+01
1.616161616161616e+00,-2.235802432459361e+01,-1.394034544860305e+01
1.717171717171717e+00,-2.461293319356534e+01,-1.534629295685437e+01
1.818181818181818e+00,-2.692079508905408e+01,-1.678525695491172e+01
1.919191919191919e+00,-2.927751292152894e+01,-1.825468288596074e+01
2.020202020202020e+00,-3.167944213497935e+01,-1.975229835021079e+01
2.121212121212121e+00,-3.412333047232463e+01,-2.127607554831189e+01
2.222222222222222e+00,-3.660626646079514e+01,-2.282419916171961e+01
2.323232323232323e+00,-3.912563539311482e+01,-2.439503890673151e+01
2.424242424242424e+00,-4.167908170280994e+01,-2.598712607529477e+01
2.525252525252525e+00,-4.426447676847756e+01,-2.759913346079866e+01
2.626262626262626e+00,-4.687989131587054e+01,-2.922985815062979e+01
2.727272727272727e+00,-4.952357171000061e+01,-3.087820674417405e+01
2.828282828282828e+00,-5.219391953878054e+01,-3.254318262311035e+01
2.929292929292929e+00,-5.488947398435771e+01,-3.422387495984464e+01
3.030303030303030e+00,-5.760889655897584e+01,-3.591944920023966e+01
3.131313131313131e+00,-6.035095785031373e+01,-3.762913879926408e+01
3.232323232323232e+00,-6.311452597838711e+01,-3.935223802381027e+01
3.333333333333333e+00,-6.589855651384110e+01,-4.108809566669677e+01
3.434343434343434e+00,-6.870208364726865e+01,-4.283610954069198e+01
3.535353535353535e+00,-7.152421243235037e+01,-4.459572164207118e+01
3.636363636363636e+00,-7.436411195323791e+01,-4.636641389044426e+01
3.737373737373737e+00,-7.722100928963492e+01,-4.814770436595197e+01
3.838383838383838e+00,-8.009418417225498e+01,-4.993914397691596e+01
3.939393939393939e+00,-8.298296423741179e+01,-5.174031350105082e+01
4.040404040404041e+00,-8.588672080296232e+01,-5.355082095174254e+01
4.141414141414141e+00,-8.880486509912956e+01,-5.537029922794669e+01
4.242424242424242e+00,-9.173684489724323e+01,-5.719840401219054e+01
4.343434343434343e+00,-9.468214148745935e+01,-5.903481188616540e+01
4.444444444444445e+00,-9.764026696330374e+01,-6.087921863762526e+01
4.545454545454545e+00,-1.006107617766328e+02,-6.273133773589191e+01
4.646464646464646e+00,-1.035931925314908e+02,-6.459089895631359e+01
4.747474747474747e+00,-1.065871499895049e+02,-6.645764713661805e+01
4.848484848484849e+00,-1.095922472630123e+02,-6.833134105031806e+01
4.949494949494950e+00,-1.126081181751578e+02,-7.021175238422363e+01
5.050505050505050e+00,-1.156344157688104e+02,-7.209866480874354e+01
5.151515151515151e+00,-1.186708109483950e+02,-7.399187313106032e+01
5.252525252525253e+00,-1.217169912406709e+02,-7.589118252246942e+01
5.353535353535354e+00,-1.247726596621673e+02,-7.779640781221879e+01
5.454545454545454e+00,-1.278375336824310e+02,-7.970737284108884e+01
5.555555555555555e+00,-1.309113442735073e+02,-8.162390986873864e+01
5.656565656565657e+00,-1.339938350371671e+02,-8.354585902952729e+01
5.757575757575758e+00,-1.370847614023511e+02,-8.547306783211653e+01
5.858585858585858e+00,-1.401838898861388e+02,-8.740539069868052e+01
5.959595959595959e+00,-1.432909974122780e+02,-8.934268854000584e+01
6.060606060606061e+00,-1.464058706819567e+02,-9.128482836316441e+01
6.161616161616162e+00,-1.495283055920628e+02,-9.323168290879507e+01
6.262626262626262e+00,-1.526581066966714e+02,-9.518313031533853e+01
6.363636363636363e+00,-1.557950867079441e+02,-9.713905380784502e+01
6.464646464646465e+00,-1.589390660330066e+02,-9.909934140921534e+01
6.565656565656566e+00,-1.620898723437198e+02,-1.010638856719508e+02
6.666666666666667e+00,-1.652473401765617e+02,-1.030325834286775e+02
6.767676767676767e+00,-1.684113105601097e+02,-1.050053355598795e+02
6.868686868686869e+00,-1.715816306678537e+02,-1.069820467774261e+02
6.969696969696970e+00,-1.747581534942855e+02,-1.089626254226118e+02
7.070707070707071e+00,-1.779407375524043e+02,-1.109469832775494e+02
