f,f_range,dr,dr_df,index
1.5151515151515151,"(np.float64(1.494949494949495), np.float64(1.5353535353535355))",0.06335363802660421,1.5680025411584526,38
1.5555555555555558,"(np.float64(1.5353535353535355), np.float64(1.575757575757576))",0.061167667137938864,1.5138997616639855,39
1.595959595959596,"(np.float64(1.575757575757576), np.float64(1.6161616161616164))",0.05908778893808542,1.4624227762176127,40
1.6363636363636367,"(np.float64(1.6161616161616164), np.float64(1.6565656565656568))",0.05710826320161644,1.4134295142400055,41
1.676767676767677,"(np.float64(1.6565656565656568), np.float64(1.696969696969697))",0.05522321863110946,1.3667746611199654,42
1.7171717171717171,"(np.float64(1.696969696969697), np.float64(1.7373737373737375))",0.05342741737761525,1.322328580095976,43
1.7575757575757578,"(np.float64(1.7373737373737375), np.float64(1.777777777777778))",0.05171575491491076,1.2799649341440402,44
1.797979797979798,"(np.float64(1.777777777777778), np.float64(1.8181818181818183))",0.050083560313535,1.2395681177599902,45
1.8383838383838387,"(np.float64(1.8181818181818183), np.float64(1.8585858585858588))",0.0485264392922824,1.2010293724839882,46
1.878787878787879,"(np.float64(1.8585858585858588), np.float64(1.8989898989898992))",0.04704009309230095,1.1642423040344474,47
1.9191919191919193,"(np.float64(1.8989898989898992), np.float64(1.9393939393939394))",0.045620566855886224,1.1291090296831892,48
1.9595959595959598,"(np.float64(1.9393939393939394), np.float64(1.97979797979798))",0.0442642018659809,1.0955389961830262,49
2.0,"(np.float64(1.97979797979798), np.float64(2.0202020202020203))",0.04296764426500577,1.0634491955588916,50
2.0404040404040407,"(np.float64(2.0202020202020203), np.float64(2.060606060606061))",0.04172746043157716,1.032754645681528,51
2.0808080808080813,"(np.float64(2.060606060606061), np.float64(2.101010101010101))",0.040540604061369834,1.003379950518908,52
2.4848484848484853,"(np.float64(2.464646464646465), np.float64(2.505050505050505))",6.580789071490399,162.87452951938812,62
2.5252525252525255,"(np.float64(2.505050505050505), np.float64(2.545454545454546))",0.06059544437728093,1.4997372483376934,63
2.5656565656565657,"(np.float64(2.545454545454546), np.float64(2.585858585858586))",0.05914008818847449,1.4637171826647504,64
2.6060606060606064,"(np.float64(2.585858585858586), np.float64(2.6262626262626263))",0.057738639256571744,1.4290313216001571,65
2.6464646464646466,"(np.float64(2.6262626262626263), np.float64(2.666666666666667))",0.05638828492711134,1.3956100519459969,66
2.686868686868687,"(np.float64(2.666666666666667), np.float64(2.707070707070707))",0.055086989706436995,1.3634029952343218,67
2.7272727272727275,"(np.float64(2.707070707070707), np.float64(2.747474747474748))",0.05383206730215129,1.3323436657282357,68
2.767676767676768,"(np.float64(2.747474747474748), np.float64(2.787878787878788))",0.05262147818574725,1.3023815850972504,69
2.8080808080808084,"(np.float64(2.787878787878788), np.float64(2.8282828282828287))",0.05145322970119004,1.2734674351044453,70
2.8484848484848486,"(np.float64(2.8282828282828287), np.float64(2.868686868686869))",0.05032533299652542,1.2455519916640099,71
2.8888888888888893,"(np.float64(2.868686868686869), np.float64(2.909090909090909))",0.04923599240375509,1.218590811992944,72
2.9292929292929295,"(np.float64(2.909090909090909), np.float64(2.94949494949495))",0.048183444667687425,1.192540255525256,73
2.9696969696969697,"(np.float64(2.94949494949495), np.float64(2.98989898989899))",0.0471660481594256,1.167359691945789,74
3.0101010101010104,"(np.float64(2.98989898989899), np.float64(3.0303030303030307))",0.04618219308877336,1.1430092789471333,75
3.050505050505051,"(np.float64(3.0303030303030307), np.float64(3.070707070707071))",0.04523064965426826,1.1194585789431446,76
3.090909090909091,"(np.float64(3.070707070707071), np.float64(3.111111111111111))",0.04430955363193867,1.096661452390487,77
3.1313131313131315,"(np.float64(3.111111111111111), np.float64(3.151515151515152))",0.04341837418404637,1.0746047610551408,78
3.171717171717172,"(np.float64(3.151515151515152), np.float64(3.191919191919192))",0.04255500408579316,1.0532363511233855,79
3.2121212121212124,"(np.float64(3.191919191919192), np.float64(3.2323232323232327))",0.041718796579846895,1.032540215351204,80
3.2525252525252526,"(np.float64(3.2323232323232327), np.float64(3.272727272727273))",0.04090851876757284,1.0124858394974325,81
