r,F1,F2,n1,n2,DeltaF
# Parameters:
# xi_f1 = 10.0
# xi_f2 = 15.0
# k = 2.0
# Ek = 0.001
# E0 = 10.0
# DeltaE1 = 18.00
# DeltaE2 = 37.00

13.218218,4.233381,4.233381,0.000000,0.000000,0.000000
13.265766,4.294937,4.294937,0.000000,0.000000,0.000000
13.313313,4.357064,4.357064,0.000000,0.000000,0.000000
13.360861,4.419769,4.419769,0.000000,0.000000,0.000000
13.408408,4.483060,4.483060,0.000000,0.000000,0.000000
13.455956,4.546942,4.546942,0.000000,0.000000,0.000000
13.503504,4.611423,4.611423,0.000000,0.000000,0.000000
13.551051,4.676511,4.676511,0.000000,0.000000,0.000000
13.598599,4.742212,4.742212,0.000000,0.000000,0.000000
13.646146,4.808535,4.808535,0.000000,0.000000,0.000000
13.693694,4.875486,4.875486,0.000000,0.000000,0.000000
13.741241,4.943074,4.943074,0.000000,0.000000,0.000000
13.788789,5.011306,5.011306,0.000000,0.000000,0.000000
13.836336,5.080190,5.080190,0.000000,0.000000,0.000000
13.883884,5.149735,5.149735,0.000000,0.000000,0.000000
13.931431,5.219949,5.219949,0.000000,0.000000,0.000000
13.978979,5.290840,5.290840,0.000000,0.000000,0.000000
14.026527,5.362416,5.362416,0.000000,0.000000,0.000000
14.074074,5.434687,5.434687,0.000000,0.000000,0.000000
14.121622,5.507662,5.507662,0.000000,0.000000,0.000000
14.169169,5.581348,5.581348,0.000000,0.000000,0.000000
14.216717,5.655757,5.655757,0.000000,0.000000,0.000000
14.264264,5.730896,5.730896,0.000000,0.000000,0.000000
14.311812,5.806776,5.806776,0.000000,0.000000,0.000000
14.359359,5.883405,5.883405,0.000000,0.000000,0.000000
14.406907,5.960795,5.960795,0.000000,0.000000,0.000000
14.454454,6.038955,6.038955,0.000000,0.000000,0.000000
14.502002,6.117895,6.117895,0.000000,0.000000,0.000000
14.549550,6.197626,6.197626,0.000000,0.000000,0.000000
14.597097,6.278158,6.278158,0.000000,0.000000,0.000000
14.644645,6.359502,6.359502,0.000000,0.000000,0.000000
14.692192,6.441669,6.441669,0.000000,0.000000,0.000000
14.739740,6.524670,6.524670,0.000000,0.000000,0.000000
14.787287,6.608518,6.608518,0.000000,0.000000,0.000000
14.834835,6.693222,6.693222,0.000000,0.000000,0.000000
14.882382,6.778796,6.778796,0.000000,0.000000,0.000000
14.929930,6.865251,6.865251,0.000000,0.000000,0.000000
14.977477,6.952600,6.952600,0.000000,0.000000,0.000000
15.025025,7.040854,7.040854,0.000000,0.000000,0.000000
15.072573,7.130028,7.130028,0.000000,0.000000,0.000000
15.120120,7.220134,7.220134,0.000000,0.000000,0.000000
15.167668,7.311185,7.311185,0.000000,0.000000,0.000000
15.215215,7.403195,7.403195,0.000000,0.000000,0.000000
15.262763,7.496177,7.496177,0.000000,0.000000,0.000000
15.310310,7.590146,7.590146,0.000000,0.000000,0.000000
15.357858,7.685117,7.685117,0.000000,0.000000,0.000000
15.405405,7.781103,7.781103,0.000000,0.000000,0.000000
15.452953,7.878119,7.878119,0.000000,0.000000,0.000000
15.500501,7.976182,7.976182,0.000000,0.000000,0.000000
15.548048,8.075306,8.075306,0.000000,0.000000,0.000000
15.595596,8.175507,8.175507,0.000000,0.000000,0.000000
15.643143,8.276802,8.276802,0.000000,0.000000,0.000000
15.690691,8.379207,8.379207,0.000000,0.000000,0.000000
15.738238,8.482739,8.482739,0.000000,0.000000,0.000000
15.785786,8.587415,8.587415,0.000000,0.000000,0.000000
15.833333,8.693253,8.693253,0.000000,0.000000,0.000000
15.880881,8.800270,8.800270,0.000000,0.000000,0.000000
15.928428,8.908486,8.908486,0.000000,0.000000,0.000000
15.975976,9.017918,9.017918,0.000000,0.000000,0.000000
16.023524,9.128585,9.128585,0.000000,0.000000,0.000000
16.071071,9.240509,9.240509,0.000000,0.000000,0.000000
16.118619,9.353707,9.353707,0.000000,0.000000,0.000000
16.166166,9.468201,9.468201,0.000000,0.000000,0.000000
16.213714,9.568688,9.584011,1.002004,0.000000,-0.015323
16.261261,9.614033,9.701159,1.002004,0.000000,-0.087126
16.308809,9.659658,9.819666,1.002004,0.000000,-0.160008
16.356356,9.705564,9.939555,1.002004,0.000000,-0.233991
16.403904,9.751754,10.060848,1.002004,0.000000,-0.309094
16.451451,9.798230,10.183569,1.002004,0.000000,-0.385339
16.498999,9.844994,10.307740,1.002004,0.000000,-0.462747
16.546547,9.892047,10.433388,1.002004,0.000000,-0.541340
16.594094,9.939393,10.560535,1.002004,0.000000,-0.621142
16.641642,9.987033,10.689208,1.002004,0.000000,-0.702175
16.689189,10.034969,10.819432,1.002004,0.000000,-0.784464
16.736737,10.083203,10.951235,1.002004,0.000000,-0.868032
16.784284,10.131738,11.084643,1.002004,0.000000,-0.952904
16.831832,10.180577,11.219684,1.002004,0.000000,-1.039107
16.879379,10.229720,11.356386,1.002004,0.000000,-1.126666
16.926927,10.279171,11.494779,1.002004,0.000000,-1.215608
16.974474,10.328932,11.634893,1.002004,0.000000,-1.305961
17.022022,10.379004,11.776757,1.002004,0.000000,-1.397753
17.069570,10.429392,11.920404,1.002004,0.000000,-1.491013
17.117117,10.480096,12.065865,1.002004,0.000000,-1.585770
17.164665,10.531119,12.213173,1.002004,0.000000,-1.682055
17.212212,10.582463,12.362362,1.002004,0.000000,-1.779899
17.259760,10.634132,12.513466,1.002004,0.000000,-1.879334
17.307307,10.686128,12.666520,1.002004,0.000000,-1.980392
17.354855,10.738452,12.821561,1.002004,0.000000,-2.083108
17.402402,10.791108,12.978625,1.002004,0.000000,-2.187517
17.449950,10.844099,13.137751,1.002004,0.000000,-2.293652
17.497497,10.897426,13.298977,1.002004,0.000000,-2.401551
17.545045,10.951092,13.462344,1.002004,0.000000,-2.511252
17.592593,11.005101,13.627892,1.002004,0.000000,-2.622791
17.640140,11.059454,13.795664,1.002004,0.000000,-2.736210
17.687688,11.114154,13.965702,1.002004,0.000000,-2.851548
17.735235,11.169205,14.138051,1.002004,0.000000,-2.968846
17.782783,11.224609,14.312757,1.002004,0.000000,-3.088148
17.830330,11.280368,14.489865,1.002004,0.000000,-3.209497
17.877878,11.336486,14.669425,1.002004,0.000000,-3.332939
17.925425,11.392965,14.851484,1.002004,0.000000,-3.458519
17.972973,11.449808,15.036094,1.002004,0.000000,-3.586285
18.020521,11.507019,15.223306,1.002004,0.000000,-3.716287
18.068068,11.564600,15.413174,1.002004,0.000000,-3.848574
18.115616,11.622554,15.605753,1.002004,0.000000,-3.983199
18.163163,11.680885,15.801098,1.002004,0.000000,-4.120214
18.210711,11.739594,15.999269,1.002004,0.000000,-4.259674
18.258258,11.798686,16.200323,1.002004,0.000000,-4.401637
18.305806,11.858164,16.404323,1.002004,0.000000,-4.546159
18.353353,11.918030,16.611331,1.002004,0.000000,-4.693301
18.400901,11.978288,16.821412,1.002004,0.000000,-4.843125
18.448448,12.038941,17.034634,1.002004,0.000000,-4.995693
18.495996,12.099993,17.251064,1.002004,0.000000,-5.151071
18.543544,12.161446,17.470772,1.002004,0.000000,-5.309327
18.591091,12.223304,17.693833,1.002004,0.000000,-5.470529
18.638639,12.285571,17.920321,1.002004,0.000000,-5.634750
18.686186,12.348250,18.150312,1.002004,0.000000,-5.802062
18.733734,12.411344,18.383887,1.002004,0.000000,-5.972543
18.781281,12.474858,18.621128,1.002004,0.000000,-6.146270
18.828829,12.538793,18.862118,1.002004,0.000000,-6.323325
18.876376,12.603155,19.106945,1.002004,0.000000,-6.503790
18.923924,12.667947,19.355699,1.002004,0.000000,-6.687752
18.971471,12.733172,19.608472,1.002004,0.000000,-6.875301
19.019019,12.798834,19.862834,1.002004,0.004008,-7.064000
19.066567,12.864937,20.119889,1.002004,0.004008,-7.254952
19.114114,12.931485,20.381150,1.002004,0.004008,-7.449666
19.161662,12.998481,20.646721,1.002004,0.004008,-7.648240
19.209209,13.065930,20.912979,1.002004,0.008016,-7.847048
19.256757,13.133836,21.183108,1.002004,0.008016,-8.049272
19.304304,13.202202,21.457753,1.002004,0.008016,-8.255551
19.351852,13.271033,21.735699,1.002004,0.012024,-8.464665
19.399399,13.340333,22.015098,1.002004,0.012024,-8.674766
19.446947,13.410105,22.299231,1.002004,0.012024,-8.889125
19.494494,13.480355,22.588214,1.002004,0.012024,-9.107859
19.542042,13.551086,22.877908,1.002004,0.016032,-9.326822
19.589590,13.622303,23.171968,1.002004,0.016032,-9.549666
19.637137,13.694010,23.471119,1.002004,0.016032,-9.777109
19.684685,13.766211,23.772368,1.002004,0.020040,-10.006157
19.732232,13.838911,24.076821,1.002004,0.020040,-10.237910
19.779780,13.912115,24.386620,1.002004,0.020040,-10.474505
19.827327,13.985827,24.699349,1.002004,0.024048,-10.713522
19.874875,14.060052,25.014692,1.002004,0.024048,-10.954639
19.922422,14.134795,25.335650,1.002004,0.024048,-11.200855
19.969970,14.210060,25.659773,1.002004,0.028056,-11.449713
20.017518,14.285852,25.986530,1.002004,0.028056,-11.700679
20.065065,14.362176,26.319193,1.002004,0.028056,-11.957017
20.112613,14.439037,26.654611,1.002004,0.032064,-12.215574
