sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
0.0198160347,0.0138465467,0.0189242365,0.0266804619,0.0152097472,0.0254510346,0.0275200719,0.0497544019,0.0187084750,0.0161005599,0.0179740321,0.0181998603,0.0139645170,0.0185987170,0.0239871982,0.0167226713,0.0232845404,0.0727614790,0.0214660163,0.0321704220,0.0177876838,0.0169358899,0.0145028993,0.0329220605,0.0231215792,0.0143809102,0.0587629372,0.0159453147,0.0165051664,0.0172925244,0.0880792225,0.0156611148,0.0236929240,0.0320982327,0.0154996547,0.0833048066,0.0574851529,0.0167709289,0.0163512170,0.0183123780,0.0208814177,0.0191538805,0.0154212078,0.0197635321
0.0217998576,0.0152319580,0.0208185930,0.0293539330,0.0167317250,0.0280008456,0.0302780337,0.0547653460,0.0205811900,0.0177118058,0.0197730912,0.0200215654,0.0153617449,0.0204604234,0.0263898579,0.0183962718,0.0256165976,0.0801504791,0.0236154401,0.0353969889,0.0195680571,0.0186308639,0.0159540588,0.0362244770,0.0254372650,0.0158198490,0.0646980438,0.0175410020,0.0181569650,0.0190232512,0.0970903155,0.0172283214,0.0260660128,0.0353175164,0.0170506817,0.0918063243,0.0632886808,0.0184493667,0.0179875851,0.0201453670,0.0229721570,0.0210712727,0.0169643741,0.0217420872
0.0237843152,0.0166175857,0.0227135021,0.0320289559,0.0182539894,0.0305520032,0.0330376989,0.0597864771,0.0224544388,0.0193233919,0.0215726236,0.0218437620,0.0167591946,0.0223226544,0.0287936443,0.0200702534,0.0279496851,0.0875720179,0.0257656708,0.0386262819,0.0213488891,0.0203262338,0.0174054667,0.0395298162,0.0277539597,0.0172590301,0.0706500538,0.0191370196,0.0198091300,0.0207543996,0.1061602434,0.0187958409,0.0284401872,0.0385395079,0.0186020121,0.1003572999,0.0691080159,0.0201281889,0.0196243094,0.0219788567,0.0250636390,0.0229892379,0.0185078392,0.0237212719
0.0257694652,0.0180034493,0.0246090142,0.0347056725,0.0197765667,0.0331046303,0.0357992235,0.0648187409,0.0243282702,0.0209353490,0.0233726726,0.0236664949,0.0181568864,0.0241854577,0.0311986605,0.0217446509,0.0302838973,0.0950291891,0.0279167822,0.0418585510,0.0231302217,0.0220220357,0.0188571459,0.0428383462,0.0300717555,0.0186984755,0.0766205494,0.0207333977,0.0214616949,0.0224860078,0.1152947167,0.0203637020,0.0308155466,0.0417644554,0.0201536735,0.1089625011,0.0749446359,0.0218074306,0.0212614225,0.0238128927,0.0271559315,0.0249078283,0.0200516303,0.0257011435
0.0277553655,0.0193895685,0.0265051797,0.0373842251,0.0212994829,0.0356588503,0.0385627635,0.0698630884,0.0262027328,0.0225477083,0.0251732813,0.0254898089,0.0195548405,0.0260488812,0.0336050094,0.0234194989,0.0326193281,0.1025251222,0.0300688478,0.0450940469,0.0249120968,0.0237183057,0.0203091189,0.0461503358,0.0323907444,0.0201382075,0.0826111252,0.0223301664,0.0231146930,0.0242181144,0.1244995433,0.0219319331,0.0331921902,0.0449926079,0.0217056937,0.1176267680,0.0808000294,0.0234871269,0.0228989568,0.0256475206,0.0292491023,0.0268270962,0.0215957747,0.0276817595
0.0297420743,0.0207759631,0.0284020491,0.0400647560,0.0228227642,0.0382147865,0.0413284754,0.0749204761,0.0280778755,0.0241605007,0.0269744928,0.0273137488,0.0209530770,0.0279129729,0.0360127943,0.0250948324,0.0349560720,0.1100629860,0.0322219417,0.0483330208,0.0266945562,0.0254150800,0.0217614083,0.0494660546,0.0347110191,0.0215782479,0.0886233884,0.0239273558,0.0247681578,0.0259507578,0.1337806374,0.0235005628,0.0355702174,0.0482242149,0.0232581002,0.1263550203,0.0866756968,0.0251673128,0.0245369448,0.0274827862,0.0313432193,0.0287470940,0.0231402997,0.0296631774
0.0317296494,0.0221626529,0.0302996728,0.0427474078,0.0243464367,0.0407725628,0.0440965160,0.0799918665,0.0299537470,0.0257737573,0.0287763506,0.0291383596,0.0223516163,0.0297777805,0.0384221185,0.0267706861,0.0372942235,0.1176459923,0.0343761375,0.0515757244,0.0284776418,0.0271123946,0.0232140368,0.0527857727,0.0370326718,0.0230186190,0.0946589607,0.0255249961,0.0264221227,0.0276839765,0.1431440296,0.0250696197,0.0379497277,0.0514595264,0.0248109209,0.1351522645,0.0925731510,0.0268480234,0.0261754191,0.0293187352,0.0334383505,0.0306678740,0.0246852325,0.0316454549
0.0337181491,0.0235496574,0.0321981015,0.0454323236,0.0258705266,0.0433323028,0.0468670422,0.0850782288,0.0318303962,0.0273875091,0.0305788978,0.0309636862,0.0237504785,0.0316433523,0.0408330856,0.0284470948,0.0396338772,0.1252773986,0.0365315094,0.0548224106,0.0302613956,0.0288102858,0.0246670272,0.0561097612,0.0393557953,0.0244593428,0.1007194791,0.0271231174,0.0280766212,0.0294178090,0.1525958762,0.0266391323,0.0403308210,0.0546987935,0.0263641833,0.1440236006,0.0984939188,0.0285292938,0.0278144122,0.0311554134,0.0355345640,0.0325894887,0.0262306003,0.0336286495
0.0357076315,0.0249369965,0.0340973858,0.0481196466,0.0273950601,0.0458941309,0.0496402114,0.0901805392,0.0337078720,0.0290017873,0.0323821778,0.0327897737,0.0251496839,0.0335097360,0.0432457993,0.0301240933,0.0419751278,0.1329605127,0.0386881314,0.0580733325,0.0320458596,0.0305087897,0.0261204020,0.0594382921,0.0416804822,0.0259004415,0.1068065971,0.0287217500,0.0297316868,0.0311522939,0.1621424703,0.0282091293,0.0427135971,0.0579422677,0.0279179152,0.1529742304,0.1044395414,0.0302111592,0.0294539566,0.0329928666,0.0376319279,0.0345119907,0.0277764306,0.0356128191
0.0376981548,0.0263246900,0.0359975763,0.0508095203,0.0289200635,0.0484581713,0.0524161814,0.0952997813,0.0355862233,0.0306166230,0.0341862340,0.0346166670,0.0265492528,0.0353769800,0.0456603635,0.0318017167,0.0443180703,0.1406986954,0.0408460777,0.0613287445,0.0338310759,0.0322079427,0.0275741841,0.0627716381,0.0440068257,0.0273419372,0.1129219855,0.0303209241,0.0313873531,0.0328874698,0.1717902519,0.0297796392,0.0450981561,0.0611902015,0.0294721443,0.1620094644,0.1104115759,0.0318936549,0.0310940850,0.0348311409,0.0397305104,0.0364354323,0.0293227506,0.0375980213
