sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
55.7433894969,68.7822424305,56.9230800130,50.0761529847,64.3073417702,50.7964590854,49.6316160103,44.0707522272,57.2334624483,62.0389378119,58.3741721007,58.0087429804,68.3340566386,57.3954494215,51.7828101930,60.6793283175,52.3157604162,42.2134719312,53.9205617418,47.6866379332,58.6863036281,60.2490999334,66.4474951933,47.4354169281,52.4456276889,66.8535943633,43.1512449699,62.4048751613,61.1362851485,59.5659622774,41.5520851829,63.1054077078,52.0008461553,47.7115281952,63.5221649964,41.7303381864,43.2621335827,60.5804570262,61.4713803025,57.8316930263,54.5200190262,56.6039541997,63.7298338730,55.8085911884
55.9349475364,69.0186075248,57.1186919718,50.2482359847,64.5283291989,50.9710173640,49.8021713918,44.2221981112,57.4301410134,62.2521300380,58.5747706302,58.2080857398,68.5688815755,57.5926846429,51.9607579943,60.8878483461,52.4955396616,42.3585354086,54.1058557684,47.8505095413,58.8879747746,60.4561415139,66.6758371012,47.5984252337,52.6258532136,67.0833318010,43.2995310351,62.6193249041,61.3463754755,59.7706563058,41.6948758536,63.3222647789,52.1795432211,47.8754853367,63.7404542232,41.8737414104,43.4108007084,60.7886372909,61.6826221592,58.0304273666,54.7073730435,56.7984695062,63.9488367386,56.0003732887
56.1265055759,69.2549726190,57.3143039306,50.4203189846,64.7493166277,51.1455756427,49.9727267732,44.3736439951,57.6268195785,62.4653222642,58.7753691598,58.4074284992,68.8037065124,57.7899198642,52.1387057957,61.0963683747,52.6753189070,42.5035988861,54.2911497950,48.0143811493,59.0896459211,60.6631830945,66.9041790091,47.7614335392,52.8060787383,67.3130692387,43.4478171003,62.8337746470,61.5564658025,59.9753503342,41.8376665243,63.5391218501,52.3582402869,48.0394424783,63.9587434500,42.0171446344,43.5594678341,60.9968175556,61.8938640159,58.2291617069,54.8947270608,56.9929848127,64.1678396041,56.1921553890
56.3180636155,69.4913377133,57.5099158894,50.5924019846,64.9703040565,51.3201339213,50.1432821547,44.5250898790,57.8234981436,62.6785144903,58.9759676894,58.6067712585,69.0385314493,57.9871550856,52.3166535970,61.3048884032,52.8550981524,42.6486623635,54.4764438217,48.1782527573,59.2913170675,60.8702246750,67.1325209170,47.9244418448,52.9863042630,67.5428066764,43.5961031655,63.0482243898,61.7665561294,60.1800443627,41.9804571950,63.7559789212,52.5369373528,48.2033996198,64.1770326768,42.1605478585,43.7081349598,61.2049978203,62.1051058726,58.4278960472,55.0820810780,57.1875001193,64.3868424697,56.3839374893
56.5096216550,69.7277028076,57.7055278482,50.7644849845,65.1912914852,51.4946922000,50.3138375362,44.6765357630,58.0201767088,62.8917067165,59.1765662189,58.8061140179,69.2733563862,58.1843903070,52.4946013984,61.5134084318,53.0348773978,42.7937258409,54.6617378483,48.3421243653,59.4929882140,61.0772662555,67.3608628249,48.0874501504,53.1665297877,67.7725441140,43.7443892307,63.2626741326,61.9766464564,60.3847383911,42.1232478658,63.9728359924,52.7156344186,48.3673567614,64.3953219036,42.3039510825,43.8568020855,61.4131780850,62.3163477294,58.6266303875,55.2694350953,57.3820154258,64.6058453352,56.5757195896
56.7011796945,69.9640679018,57.9011398070,50.9365679845,65.4122789140,51.6692504786,50.4843929177,44.8279816469,58.2168552739,63.1048989427,59.3771647485,59.0054567773,69.5081813231,58.3816255284,52.6725491997,61.7219284604,53.2146566433,42.9387893184,54.8470318749,48.5059959733,59.6946593605,61.2843078360,67.5892047328,48.2504584560,53.3467553124,68.0022815517,43.8926752958,63.4771238754,62.1867367834,60.5894324196,42.2660385365,64.1896930636,52.8943314844,48.5313139030,64.6136111304,42.4473543065,44.0054692113,61.6213583497,62.5275895861,58.8253647278,55.4567891126,57.5765307323,64.8248482007,56.7675016899
56.8927377340,70.2004329961,58.0967517658,51.1086509844,65.6332663428,51.8438087573,50.6549482992,44.9794275309,58.4135338390,63.3180911688,59.5777632780,59.2047995367,69.7430062600,58.5788607497,52.8504970011,61.9304484890,53.3944358887,43.0838527958,55.0323259015,48.6698675814,59.8963305070,61.4913494166,67.8175466406,48.4134667616,53.5269808371,68.2320189894,44.0409613610,63.6915736183,62.3968271103,60.7941264480,42.4088292072,64.4065501347,53.0730285502,48.6952710445,64.8319003571,42.5907575305,44.1541363370,61.8295386144,62.7388314428,59.0240990681,55.6441431298,57.7710460388,65.0438510663,56.9592837902
57.0842957735,70.4367980904,58.2923637246,51.2807339844,65.8542537715,52.0183670359,50.8255036806,45.1308734148,58.6102124041,63.5312833950,59.7783618076,59.4041422961,69.9778311969,58.7760959711,53.0284448024,62.1389685176,53.5742151341,43.2289162732,55.2176199281,48.8337391894,60.0980016535,61.6983909971,68.0458885485,48.5764750672,53.7072063618,68.4617564271,44.1892474262,63.9060233611,62.6069174373,60.9988204765,42.5516198780,64.6234072059,53.2517256161,48.8592281861,65.0501895839,42.7341607545,44.3028034627,62.0377188791,62.9500732995,59.2228334084,55.8314971471,57.9655613454,65.2628539318,57.1510658905
57.2758538130,70.6731631846,58.4879756834,51.4528169843,66.0752412003,52.1929253146,50.9960590621,45.2823192988,58.8068909692,63.7444756211,59.9789603371,59.6034850554,70.2126561338,58.9733311925,53.2063926038,62.3474885461,53.7539943795,43.3739797506,55.4029139547,48.9976107974,60.2996728000,61.9054325776,68.2742304564,48.7394833728,53.8874318865,68.6914938647,44.3375334914,64.1204731039,62.8170077643,61.2035145049,42.6944105487,64.8402642771,53.4304226819,49.0231853277,65.2684788107,42.8775639785,44.4514705884,62.2458991438,63.1613151562,59.4215677487,56.0188511644,58.1600766519,65.4818567974,57.3428479908
57.4674118525,70.9095282789,58.6835876422,51.6248999843,66.2962286290,52.3674835932,51.1666144436,45.4337651827,59.0035695343,63.9576678473,60.1795588667,59.8028278148,70.4474810707,59.1705664139,53.3843404051,62.5560085747,53.9337736249,43.5190432281,55.5882079813,49.1614824054,60.5013439465,62.1124741582,68.5025723643,48.9024916784,54.0676574112,68.9212313024,44.4858195566,64.3349228467,63.0270980913,61.4082085334,42.8372012194,65.0571213482,53.6091197477,49.1871424692,65.4867680375,43.0209672025,44.6001377141,62.4540794085,63.3725570129,59.6203020890,56.2062051817,58.3545919584,65.7008596629,57.5346300911
